Sentence_ID,Sentence,Arg_Type,Argument_IDs,Argument_Relations
1538,"Ukrainian pilot Nadia Savchenko, who has long had a distinguished career in the Ukrainian military, was taken by separatists in mid-June.",premise,[1447],{}
1539,She is now being held - where?,premise,[1448],{}
1540,"- in a prison in Voronezh, Russia.",premise,[1449],{}
1541,"According to the Ukrainian Government, she was transferred to Russia by separatists.",premise,[1450],{}
1542,Russia continues to redeploy new forces extremely close to the Ukrainian border.,premise,[1451],{}
1543,"In addition, on Monday, a Ukrainian air force cargo plane was shot down in Ukrainian air space, and on Wednesday a Ukrainian fighter jet was also shot down in Ukrainian air space.",premise,[1452],{}
1544,"In both instances, the Ukrainian Government believes that the planes were fired on from Russian territory.",premise,[1453],{}
1545,"It is because of such continued destabilizing Russian actions that the United States imposed sanctions on the defence, energy and financial sectors of the Russian economy, including financial institutions.",claim,"[1454, 1455]","{(1455, 1454): 'support'}"
1546,The measures include freezing the assets ofRussian defence companies and blocking new financing of some of Russia's most important banks and energy companies.,premise,[1456],{}
1547,"The sanctions are significant, but they are also targeted and designed to have the maximum impact on the Russian calculus while limiting the impact on the Russian people and any spillover effects on our interests or those of our allies.",premise,"[1457, 1458]","{(1457, 1456): 'support', (1457, 1458): 'attack'}"
1548,"This week, the European Union also announced expanded sanctions on Russia.",premise,[1459],{}
1549,"The message is unified and clear: if President Putin continues to choose escalation over de-escalation, the international community will continue to impose costs on Russia.",claim,[1460],{}
1550,But that is not what any of us want.,premise,[1461],{}
1551,"We and our allies remain committed to a diplomatic solution, as are the Ukrainian Government and the Ukrainian people, who have seen their neighbours, friends and family members killed in a needless conflict.",premise,"[1462, 1463]","{(1462, 1463): 'support'}"
1552,President Poroshenko has consistently backed up his words with actions.,claim,[1464],{}
1553,"He proposed a comprehensive peace plan and declared a unilateral ceasefire, both of which were cynically rejected by the illegal armed groups and their backers in Moscow.",premise,[1465],{}
1554,President Poroshenko's plan offered amnesty to separatists who voluntarily laid down their arms and who are not guilty of capital crimes.,premise,[1466],{}
1555,He committed to providing a safe corridor for Russian fighters to return to Russia.,premise,[1467],{}
1556,"He established a job-creation programme for the affected areas, made an offer of broad decentralization and dialogue with eastern regions, including the promise of early local elections, and granted increased local control over language, holidays and customs.",premise,[1468],{}
1557,President Poroshenko has also reached out to the regions of eastern Ukraine and is pursuing constitutional reforms that will give local regions more authority to choose their regional leaders and protect locally spoken languages.,premise,[1469],{}
1558,"He has said that he will meet with separatists in any safe location, inside or outside Ukraine.",premise,[1470],{}
1559,"The goal of the United States throughout the crisis in Ukraine has been consistent, namely, to support a stable, peaceful and democratic Ukraine.",premise,[1471],{}
1560,We will not be satisfied with a temporary halt to violence.,claim,[1472],{}
1561,Russia must stop destabilizing Ukraine and allow all the people of Ukraine to decide their country's future through a democratic political process.,claim,[1473],{}
1562,"As we sit here, the remains of nearly 300 people - innocent infants, children, women and men - are strewn across a blackened, smouldering landscape in Ukraine.",premise,[1474],{}
1563,The victims came from at least nine different nations; they could just as easily have come from any of ours.,premise,[1475],{}
1564,We must treat all of them as our own victims.,claim,[1476],{}
1565,"We have a duty to each and every one of those individuals, their families and their countries to determine why that jet fell out of the sky and to hold the perpetrators accountable.",claim,[1477],{}
1566,We must stop at nothing to bring those responsible to justice.,claim,[1478],{}
1567,"This appalling attack occurred in the context of a crisis that has been fuelled by Russian support for separatists through arms, weapons and training, by the Russian failure to follow through on its commitments and by its failure to adhere to the fundamental principles of the United Nations Charter.",claim,[1479],{}
1568,"The tragedy only underscores the urgency and the determination with which we insist that Russia immediately take concrete steps to de-escalate the situation in Ukraine, support a sustainable ceasefire and follow the path towards peace that the Ukrainian Government has consistently offered.",claim,[1480],{}
1569,This war can be ended.,premise,[1481],{}
1570,Russia can end this war.,premise,[1482],{}
1571,Russia must end this war.,claim,[1483],{}
1572,We are deeply shocked by yesterday's downing of a Malaysia Airlines Boeing 777 in eastern Ukraine.,non-arg,[],{}
1573,"We express our sincere condolences to Malaysia, the Netherlands, Australia, Indonesia, the United Kingdom, Germany, Belgium, the Philippines, Canada and the other nations whose citizens were among the 298 people who perished.",non-arg,[],{}
1574,Our deepest sympathies go to the families of the victims.,non-arg,[],{}
1575,"The circumstances ofthe downing mustbe established by an independent, international investigaton, in accordance with international civil aviation guidelines.",claim,[1484],{}
1576,The perpetrators cannot escape responsibility.,premise,[1485],{}
1577,Investigators must immediately be granted access to the crash site and the black boxes must be handed over to independent authorities in order to prevent the evidence being tampered with.,claim,"[1486, 1487]",{}
1578,The circumstances are impossible to ignore.,non-arg,[],{}
1579,"They all point in one direction, namely, that this horrible crime was committed as part of the armed aggression against Ukraine.",claim,[1488],{}
1580,The responsibility for that terror act lies with those who are aggressively preventing Ukraine from effectively exercising its sovereign rights over its territory and airspace.,premise,[1489],{}
1581,It would not have happened had Russia not armed and instigated the presence of separatist groups in Donetsk and Luhansk provinces.,premise,[1490],{}
1582,The international community cannot stand by in the face of such aggression.,claim,[1491],{}
1583,The country has become a threat to international peace and security.,claim,[1492],{}
1584,We have said that all along since the occupation of Crimea.,premise,[1493],{}
1585,The debris of the Malaysian plane lies in an area controlled by pro-Russian separatists.,premise,[1494],{}
1586,"This week alone, a Ukrainian AN-26 cargo plane and an Su-25 fighter jet were shot down by pro-Russian separatists from a high altitude.",premise,[1495],{}
1587,The third - a Malaysian passenger plane - was deliberately shot down.,premise,[1496],{}
1588,An Il-76 transport plane and half a dozen helicopters were brought down by pro-Russian separatists at Luhansk airport and elsewhere.,premise,[1497],{}
1589,"In June, separatists boasted of possessing an SA-11 Buk missile system.",premise,[1498],{}
1590,They claimed to have used the system to shoot down the An-26 cargo plane at high altitude.,premise,[1499],{}
1591,Separatist commander Igor Strelkov claimed to the media to have shot down another aircraft at the same time as the Malaysian Airlines flight was overflying the area.,premise,[1500],{}
1592,We are truly shocked by the number of victims among the civilian population in eastern Ukraine.,premise,[1501],{}
1593,"Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.",claim,[1502],{}
1594,The carnage must end.,claim,[1503],{}
1595,President Poroshenko proposed a peace plan.,premise,[1504],{}
1596,Ukraine declared a unilateral ceasefire.,premise,[1505],{}
1597,The agreement in Berlin on 2 July provided a vehicle for talks.,premise,[1506],{}
1598,"Yet separatists and terrorists in the eastern part of Ukraine continued to sow terror, loot, rob banks, racketeer, kidnap people and traffic in human beings.",claim,[1507],{}
1599,The massive and continuous influx of foreign fighters from across the Russian border into the neighbouring Luhansk and Donetsk regions has gone unabated.,premise,[1508],{}
1600,"That influx has been accompanied by T-65 tanks, Grad multiple rocket launchers, anti-aircraft guns, towed anti-tank guns, BTR armoured personnel carriers, man-portable air defence systems and small arms.",premise,[1509],{}
1601,"In fact, the terrorists in Donbas hardly bothered to remove the markings of Russian military units from their heavy weapons.",claim,[1510],{}
1602,"Russian military helicopters and drones violate Ukrainian airspace, while 40,000 troops are encamped within minutes of the Ukrainian border, in addition to the 20,000 troops stationed in occupied Crimea.",premise,[1511],{}
1603,"Russian citizens, many of whom are veterans of the conflicts in Chechnya and Transdnistria, lead many of the terrorist groups.",premise,[1512],{}
1604,The Russian media channels are putting out ongoing anti-Ukrainian propaganda.,claim,[1513],{}
1605,"The mouthpiece of the separatists, Life News, boasts of the agility of rebels to shoot down any plane in sight.",premise,[1514],{}
1606,The terrorists and separatists continue to take hostages.,claim,[1515],{}
1607,The abducted and hooded Ukrainian pilot Nadia Savchenko was trafficked by separatists from Ukraine straight to the Russian Voronezh pretrial detention centre.,premise,[1516],{}
1608,We condemn the unlawful detention of Ukrainian citizens in Russia.,claim,[1517],{}
1609,Russia must respect the norms of international law and release Savchenko immediately.,claim,[1518],{}
1610,We remain appalled by the deteriorating human rights situation in Crimea.,claim,[1519],{}
1611,"Lithuania urges the holding of a full, thorough and independent investigation into the downing of the Malaysian Airlines flight, as agreed today by the Council.",claim,[1520],{}
1612,"Lithuania urges Russia to unequivocally distance itself from any kind of direct or indirect support for terrorists, separatists and foreign fighters.",claim,[1521],{}
1613,The insurgents must lay down their weapons.,claim,[1522],{}
1614,Lithuania calls on Russia to cooperate with Ukraine in order to ensure the security of the borders and to prevent weapons and armed terrorists from entering the territory of Ukraine.,claim,[1523],{}
1615,We call on Russia to constructively cooperate on the implementation of the peace plan put forward by President Petro Poroshenko.,claim,[1524],{}
1616,A diplomatic solution is possible.,claim,[1525],{}
1617,"Ukraine's independence, sovereignty and territorial integrity within its internationally recognized borders, including Crimea, are non-negotiable and must be respected by all.",claim,[1526],{}
1618,I would like to thank Under-Secretary-General Feltman for his briefing.,non-arg,[],{}
1619,China is shocked and grieved by the downing of Malaysia Airlines Flight MH-17 in eastern Ukraine.,non-arg,[],{}
1620,"On behalf of the Chinese Government and people, I express our sincere condolences and deep sympathy to the victims and their families.",non-arg,[],{}
1621,The safety of international civil aviation must be guaranteed.,claim,[1527],{}
1622,Our priority now is to establish the facts.,premise,[1528],{}
1623,"Pending that, it is not advisable to jump to any conclusion, make any assumptions or trade accusations.",claim,[1529],{}
1624,"We support the holding of an independent, fair and objective investigation into the incident.",claim,[1530],{}
1625,We also call on all parties to coordinate and cooperate during the investigation.,claim,[1531],{}
1626,The recent situation in Ukraine remains turbulent.,claim,[1532],{}
1627,"Armed conflict and incidents of violence frequently occur, causing loss of life and destruction of property.",premise,[1533],{}
1628,China is deeply concerned about the situation.,non-arg,[],{}
1629,"We hope that the parties concerned will take into account the well-being of the entire population of Ukraine, focus on maintaining regional peace and stability, stay calm and exercise restraint to prevent the further escalation of the conflict and confrontation.",non-arg,[],{}
1630,The crisis in Ukraine is rooted in a complex situation that is both historical and contemporary.,premise,[1534],{}
1631,A political solution is the only way out.,claim,[1535],{}
1632,China notes the recent constructive efforts of the parties concerned to achieve a ceasefire through dialogue and to promote a political solution.,non-arg,[],{}
1633,"We hope that the parties concerned will remain committed to dialogue and negotiations, take the rights and aspirations of all regions and etnic groups of Ukraine fully into account and bear in mind the legitimate concerns of all the parties involved so that the rights of all parties can be respected in a balanced way.",claim,[1536],{}
1634,We urge the parties concerned to effectively implement the agreed ceasefire and to strengthen dialogue and consultation on the basis of the Geneva agreement in pursuit of a political solution and the prompt achievement of stability and development in Ukraine.,claim,[1537],{}
1635,"China respects the sovereignty and territorial integrity of all countries, including Ukraine.",claim,[1538],{}
1636,China will continue to adopt a fair and objective approach and actively participate in any proposal or initiative that will reduce tension and promote a political solution.,claim,[1539],{}
1637,We will play a constructive role in that process.,claim,[1540],{}
1638,The downing of Malaysia Airlines Flight MH-l7 in Ukrainian territory on 17 July has shocked the world.,non-arg,[],{}
1639,We have witnessed the tragic death of298 people.,non-arg,[],{}
1640,There were 28 Australians on board Flight MH-17.,non-arg,[],{}
1641,Our nation is in mourning for all the victims.,non-arg,[],{}
1642,The news that the lives of 80 children were lost is devastating.,non-arg,[],{}
1643,"Tomorrow, flags will be flown at half-mast across Australia.",non-arg,[],{}
1644,We extend our heartfelt sympathy and condolences to the families of all the victims of the tragedy and to their countries of nationality.,non-arg,[],{}
1645,Our particular thoughts are with the Governments and the people of the Netherlands and Malaysia.,non-arg,[],{}
1646,There is mounting evidence that the crash was caused by a missile strike and that the aeroplane was brought down over territory not controlled by the Ukrainian authorities.,premise,[1541],{}
1647,"There is increasing credible information that that was conducted by separatist militia groups, acting with the assistance of others.",premise,[1542],{}
1648,We owe it to the victims of this tragedy and their families to unequivocally establish the facts behind the incident and to find out exactly what happened and who is responsible.,claim,[1543],{}
1649,"If, as appears increasingly likely, Flight MH-17 was brought down by a missile, then that is, as Australia's Prime Minister Tony Abbott has said, ""an unspeakable crime"", and the perpetrators must be brought swiftly to justice.",claim,"[1544, 1545, 1546]","{(1545, 1542): 'support', (1545, 1541): 'support', (1545, 1544): 'support', (1546, 1544): 'support'}"
1650,"There must be a full, thorough and impartial international investigation.",claim,[1547],{}
1651,We thank Under-Secretary-General Feltman for his message that the United Nations is fully prepared to cooperate with any investigation and that the International Civil Aviation Organization (ICAO) has offered its investigative capacity.,non-arg,[],{}
1652,We also welcome Mr. Feltman's information that ICAO and the Government of Ukraine are communicating on the issue of an investigation.,claim,[1548],{}
1653,"There must be immediate preservation of the crash site, and unfettered access for independent investigators.",claim,[1549],{}
1654,Safe access must also be provided to allow fro the recovery of the bodies of those who lost their lives in the tragedy.,claim,[1550],{}
1655,Undertakings brokered by the trilateral contact group with armed separatists who control the territory in which the crash occurred to allow access must be upheld.,claim,[1551],{}
1656,Our Prime Minister has made it clear that Russia's full cooperation with all investigations is expected.,claim,[1552],{}
1657,"The Council has just issued a press statement calling for investigation, accountability and immediate access to the crash site.",premise,[1553],{}
1658,"That is welcome, but Australia believes, given the gravity of the incident, that it is not a sufficient indication of the Council's resolve.",claim,[1554],{}
1659,"Australia believes the Council should adopt a draft resolution that emphasizes the need for access to be granted to the crash site and for a full, thorough, independent and international investigation to be carried out.",claim,[1555],{}
1660,This is the nineteenth time that the Council has met to discuss the situation in Ukraine since the crisis began.,premise,[1556],{}
1661,"Time and time again, the overwhelming majority of the Security Council has called for a end to the violence and destablization.",premise,[1557],{}
1662,"Council members have consistently called for a de-escalation of tensions, for separatists to lay down their weapons and for genuine dialogue to commence.",premise,[1558],{}
1663,It is time for the equivocation and dissembling and false narratives of some to stop.,claim,[1559],{}
1664,"In the three weeks since the Council last discussed the situation in Ukraine (see S/PV.7205), the security situation in the east has become increasingly dire.",claim,[1560],{}
1665,"Separatists have ignored repeated calls to disarm and have continued their attacks on Ukrainian military forces, facilities and border posts.",premise,[1561],{}
1666,Two Ukrainian military cargo planes were downed in eastern Ukraine in the past week alone.,premise,[1562],{}
1667,The Ukrainian armed forces have responded firmly to those attacks.,premise,[1563],{}
1668,"They has every right to restore law and order, and they have underlined their commitment to do so in proportionate manner.",claim,[1564],{}
1669,Russia has a crucial role to play in de-escalating this persistently dangerous crisis.,premise,[1565],{}
1670,It must end its provocations and any support for separatist forces.,claim,[1566],{}
1671,"It must control its border with Ukraine and prevent the flow of weapons, equipment and fighters from Russia into Ukraine.",claim,[1567],{}
1672,Russia must withdraw the large number of troops it has again amassed on the Ukrainian border.,claim,[1568],{}
1673,It must actively work to de-escalate tensions and use its considerable influence with separatist groups in Ukraine to that end.,claim,[1569],{}
1674,Further political efforts are essential.,claim,[1570],{}
1675,The four-party talks in Berlin in the past two weeks showed some promise.,premise,[1571],{}
1676,"The parties agreed on the need for a sustainable ceasefire, the resumption of the contact group, control of border crossing points monitored by the Organization for Security and Cooperation in Europe (OSCE) and an extension of the work of the OSCE observer mission to include border monitoring activities.",premise,[1572],{}
1677,But we have yet to see results; those efforts must be redoubled.,claim,"[1573, 1574]","{(1574, 1573): 'support'}"
1678,We thought that the situation in Ukraine had already caused too much tragedy.,premise,[1575],{}
1679,The horrific loss of Flight MH-17 has added immeasurably to that toll.,premise,[1576],{}
1680,It is time for the international community to stand as one to ensure that those responsible for that tragic crime are held to account and to make every effort to bring to an end the violence and destabilization in Ukraine.,claim,[1577],{}
1681,"I also thank the Under-Secretary-General for Political Affairs, Mr. Jeffrey Feltman, for his briefing.",non-arg,[],{}
1682,"At the start ofmy remarks, Iwish to express, on behalf of the Government and the people of Luxembourg, my most sincere condolences to the families and relatives of the 298 people aboard the Malaysia Airlines aircraft that crashed yesterday afternoon near the village of Grabovo in eastern Ukraine.",non-arg,[],{}
1683,Among the victims was a Dutch-English family living in Luxembourg.,non-arg,[],{}
1684,"Our sympathy also goes out to the Governments and the peoples of the Netherlands, Malaysia, Germany, Australia, Belgium, Canada, Indonesia, New Zealand, the Philippines and the United Kingdom.",non-arg,[],{}
1685,The international community owes it to the victims to shed light on the circumstances that led to this tragic event.,premise,[1578],{}
1686,A transparent and independent comprehensive international investigation must be completed as soon as possible.,claim,[1579],{}
1687,"Safe and unhindered access must be granted to international investigators, as well as to observers from the Organization for Security and Cooperation in Europe (OSCE) and representatives of affected countries.",claim,[1580],{}
1688,All parties involved should fully cooperate to that end.,claim,[1581],{}
1689,We commend the Ukrainian authorities in that regard.,claim,[1582],{}
1690,Those who committed this heinous act must be held accountable.,claim,[1583],{}
1691,This air disaster took place in a context of the ongoing deterioration of the situation in the east of Ukraine.,premise,[1584],{}
1692,"Day after day, we receive reports of civilians killed in fighting between the Ukrainian armed forces and illegal armed groups.",premise,[1585],{}
1693,"The pro-Russian separatist militias continue to occupy buildings and border posts, hold dozens of innocent people hostage and threaten the territorial integrity, sovereignty and independence of Ukraine.",premise,[1586],{}
1694,"The living conditions ofpeople living in areas affected by the hostilities continue to deteriorate, and the number of internally displaced persons has steadily increased.",premise,"[1587, 1588]",{}
1695,"The escalation of violence in recent days, until its tragic climax yesterday, demonstrates once again that active armed groups in eastern Ukraine are actually well-equipped and well-trained paramilitary forces who enjoy clear external support.",premise,[1589],{}
1696,"We urge the Russian Federation to actively use its influence on the illegal armed groups and ensure that weapons and fighters can no longer cross the border, in order to bring about a de-escalation as soon as possible.",claim,[1590],{}
1697,"Throughout the past few months, Ukraine has demonstrated its commitment to finding a peaceful solution to the crisis and to implementing the agreements concluded, in particular the joint declaration adopted on 17 April in Geneva between Ukraine, Russia, the European Union and the United States.",premise,"[1591, 1592]","{(1591, 1592): 'support', (1591, 1593): 'support', (1591, 1594): 'support'}"
1698,Ukraine has established a national dialogue and guarantees for national minorities.,premise,[1593],{}
1699,"Once elected, President Poroshenko put forward a comprehensive peace plan and put in place a unilateral ceasefire to create the conditions necessary for its implementation.",premise,[1594],{}
1700,"Unfortunately, illegal armed groups, whose sole aim is to destabilize Ukraine, chose not to take that outstretched hand.",claim,[1595],{}
1701,Diplomatic efforts to find a peaceful solution to the crisis in eastern Ukraine must continue.,premise,[1596],{}
1702,"In that regard, the personal commitment of the Secretary-General since the beginning of the crisis is essential and must continue.",claim,[1597],{}
1703,"It is important to urgently reach an agreement on a real and lasting ceasefire that is observed by all parties, so as to create the conditions necessary for the implementation of President Poroshenko's peace plan.",premise,[1598],{}
1704,"We welcome the efforts made in that regard by France, Germany and the OSCE to promote dialogue between Russia and Ukraine.",claim,[1599],{}
1705,We sincerely hope that those efforts will contribute to a de-escalation and put an end to a crisis that has gone on for too long.,premise,[1600],{}
1706,Yesterday's plane crash demonstrated the incalculable consequences that the crisis can have.,premise,[1601],{}
1707,"It is high time for all stakeholders, including the Russian Federation, to mobilize all energies to put an end to this crisis.",claim,[1602],{}
1708,I thank Mr. Feltman for his briefing.,non-arg,[],{}
1709,I wish to extend my deepest condolences to all the Permanent Representatives of the countries that lost citizens in this tragic event.,non-arg,[],{}
1710,I would like in particular to extend our condolences to our colleagues from the Netherlands and Malaysia.,non-arg,[],{}
1711,We also mourn with the people of the Netherlands.,non-arg,[],{}
1712,"Yesterday a Malaysia Airlines flight with nearly 300 passengers aboard crashed in the separatist-controlled area of Ukraine, and the French President expressed his enormous sorrow at the announcement of the disaster.",non-arg,[],{}
1713,"Today I reiterate France's solidarity with the victims'
families in the ordeal they are experiencing.",non-arg,[],{}
1714,"Given this tragedy and the already chaotic situation, France requests that all efforts be brought forth to shed light on the circumstances that led to the tragedy.",claim,"[1603, 1604]","{(1604, 1603): 'support'}"
1715,We call for an independent international inquiry that would allow the facts to be established and to draw the necessary conclusions.,claim,[1605],{}
1716,We ask that all measures be taken to facilitate the work of the investigators on the ground.,claim,[1606],{}
1717,"In particular, we expect the separatists to cooperate with the Ukrainian authorities in the investigation and to allow safe, immediate and full access to the investigators, in accordance with the decision made yesterday during the video tele-conference between the contact group involving Ukraine, Russia and the Organization for Security and Cooperation in Europe (OSCE) and the separatist representatives.",premise,[1607],{}
1718,A glimmer of hope had begun to dawn in Ukraine at the end of last month.,claim,[1608],{}
1719,"With the election of Mr. Poroshenko, a process of political normalization had begun.",premise,[1609],{}
1720,"A unilateral ceasefire, declared by Kiev on 20 June, hinted at a possible end to the general deteriorating security and humanitarian situation in the east.",premise,[1610],{}
1721,"On that same day, President Poroshenko initiated a comprehensive peace plan in order to arrive at a peaceful resolution of the situation.",premise,[1611],{}
1722,"Furthermore, following their meeting on the sidelines of the ceremonies marking the Normandy landing, a process of almost daily exchanges between Presidents Poroshenko and Putin and Chancellor Merkel and President Hollande led to the start of a useful dialogue.",premise,[1612],{}
1723,"Moreover, a joint statement was adopted in Berlin on 2 July that provided for the quest of a lasting ceasefire via the meeting between the contact group and the separatists, strengthened border control on the Russian-Ukrainian border to curb the flow of weapons and fighters, and the agreement of the OSCE to participate in that effort.",premise,[1613],{}
1724,"Nevertheless, today the situation continues to deteriorate.",claim,[1614],{}
1725,"For several days, fighting has escalated in eastern Ukraine because the separatists have refused to clasp the hand being extended to them.",premise,[1615],{}
1726,Every day the attacks are ever more deadly.,claim,[1616],{}
1727,Weapons never used until now have begun to be used and have struck Ukrainian territory.,premise,[1617],{}
1728,Two Ukrainian planes were shot down in their own airspace.,premise,[1618],{}
1729,That could happen only if one of the parties possessed sophisticated anti-aircraft weaponry.,premise,[1619],{}
1730,"Moreover, this unprecedented deterioration is also due to the presence of armed fighters coming from outside Ukraine.",premise,[1620],{}
1731,"The question of outside support in terms of recruitment, supplies of materials and training cannot be avoided.",claim,[1621],{}
1732,The answer is too obvious.,claim,[1622],{}
1733,It is irrefutable.,claim,[1623],{}
1734,"Weapon systems with significant firepower are being used, which can lead to tragic blunders.",premise,[1624],{}
1735,Those who are responsible for arming those who use those weapons bear the responsibility for this conflagration.,claim,[1625],{}
1736,"As I said in an earlier statement, when bandits are given weapons we cannot be surprised that they behave like bandits.",premise,[1626],{}
1737,All those events point to the pressing need for full cooperation by the international community in order to stabilize Ukraine and ensure its sovereignty and territorial integrity.,claim,[1627],{}
1738,"We also call for a sincere commitment from Russia, one that so far has been lacking.",claim,[1628],{}
1739,"The day before yesterday, the Heads of State and Government of the European Union acknowledged that the many appeals made to Moscow to end its non-cooperative stance had not been heard.",premise,[1629],{}
1740,That is the reason for the European Union's decision to impose tougher sanctions.,claim,[1630],{}
1741,"However, the strengthening of those sanctions has one and the same goal: to facilitate the emergence of a political solution.",premise,[1631],{}
1742,"Our priority remains, first, to end the escalation and establish a lasting ceasefire that is respected by all parties.",premise,[1632],{}
1743,That is why we call on Russia to engage constructively in that endeavour and to bring its influence to bear on the illegal armed groups to lay down their arms and engage in dialogue.,claim,[1633],{}
1744,Separatist activity must end.,claim,[1634],{}
1745,"In order to slow down the flow of weapons and fighters that cross through the Russian-Ukrainian border on a daily basis, we call for negotiations between Ukraine, Russia and the OSCE in order to allow the rapid deployment of a monitoring mission at the border.",claim,"[1635, 1636]","{(1636, 1635): 'support'}"
1746,Let this tragedy at least serve as a warning to all the parties.,premise,[1637],{}
1747,"Once the bullets have been shot, they strike indiscriminately and escape all control.",premise,[1638],{}
1748,We have reached such moment.,claim,[1639],{}
1749,It should still be possible to avoid the worst.,claim,[1640],{}
1750,I would like to thank Mr. Jeffrey Feltman for his briefing on the latest events in Ukraine and for expressing the constant willingness of the Secretary-General to contribute to peace and dialogue.,non-arg,[],{}
1751,"The Government and the people of Argentina express their profound sadness, pain, solidarity and deepest condolences to the families of the victims of yesterday's tragic Malaysia Airlines crash.",non-arg,[],{}
1752,We also express our condolences to the people and the Government of Ukraine and to the Governments and the peoples of the other countries whose citizens lost their lives.,non-arg,[],{}
1753,"In particular, we ask that our colleagues among the Permanent Representatives of the countries whose citizens were aboard that flight convey our condolences to the families, especially to those who saw the hopes for their children's futures extinguished.",non-arg,[],{}
1754,The severity of this event clearly demands action.,claim,[1641],{}
1755,"Like our colleagues, Argentina calls for an impartial international investigation that objectively and unequivocally establishes what happened.",claim,[1642],{}
1756,"Responsibility and the facts must be determined as soon as possible, and investigators must be granted immediate, unhindered access.",claim,"[1643, 1644]",{}
1757,"Although it is not today's topic, I should like to say that, while there had been encouraging indications that the crisis in Ukraine was entering a phase of waning tension, fears that violent confrontation would continue have not dissipated.",premise,"[1645, 1646]","{(1646, 1645): 'attack'}"
1758,"But the topic today does involve calling once again for the armed groups to cease their violence and demanding that they halt unilateral actions and their violations and trampling of human rights, which do nothing but deepen the crisis and worsen the situation, especially for the civilian population and for the innocent.",claim,"[1647, 1648]","{(1647, 1648): 'support'}"
1759,"We reiterate the need to safeguard due respect for Ukraine's conduct of its internal affairs without interference - whether military, political or economic 4 in matters under its jurisdiction.",claim,[1649],{}
1760,Argentina seeks to promote full respect by everyone for the principles of international law and human rights law as enshrined in the Charter of the United Nations.,claim,[1650],{}
1761,These are sad and difficult times.,premise,[1651],{}
1762,Argentina therefore calls for prudence.,claim,[1652],{}
1763,We will not join in using the language of geopolitical disputes.,claim,[1653],{}
1764,We will not join in a pointless blame game.,claim,[1654],{}
1765,"This is a time for sorrow, reflection and an urgent search for the truth behind the incident to determine those responsible.",claim,[1655],{}
1766,May the victims rest in peace.,non-arg,[],{}
1767,"I first want to say to our colleagues whose citizens were involved that we convey our deepest condolences to their families, citizens and Governments.",non-arg,[],{}
1768,"Yesterday at noon, the world watched in horror the downing of the Malaysian jetliner.",non-arg,[],{}
1769,What happened yesterday seemed to be an apocalyptic end to the world.,non-arg,[],{}
1770,I think Ambassador Power described it similarly.,non-arg,[],{}
1771,"The spectacle is graphically described, respectively, in chapters 8 and 9 of the Book of Revelation: ""hail and fire mingled with blood, and they were cast upon the Earth"", ""the sun and the air were darkened"".",non-arg,[],{}
1772,That was what I saw yesterday.,non-arg,[],{}
1773,"No matter our religious beliefs, that scenario may become a self-fulfilling prophesy if States continue to choose to open or support theatres of war and conflict in every corner of the world.",premise,[1656],{}
1774,What will happen is that the world will self-annihilate.,premise,[1657],{}
1775,Enough is enough.,claim,[1658],{}
1776,"The fact that this incident occurred as the plane flew over eastern Ukraine, which, for some time now, has been a zone of conflict, indicates that the accident may be connected, in one way or another, to the conflict.",non-arg,[],{}
1777,But this is not the time to play the blame game.,non-arg,[],{}
1778,"If it is established that the plane was shot down deliberately, it will mark a new dimension in the Ukraine crisis, one that represents a grave threat to the safety of international civil aviation.",premise,[1659],{}
1779,"At this point, it is of critical importance for the facts surrounding the crash to be dispassionately well-ascertained.",claim,[1660],{}
1780,"In that regard, we would like to express our full support for an independent international investigation, as called for by the Secretary-General.",claim,[1661],{}
1781,"Noting that the plane went down in an area under the control of armed rebel groups, we urge that those groups cooperate fully and unconditionally with the investigation into the crash.",claim,"[1662, 1663]","{(1663, 1662): 'support'}"
1782,"We have no doubt that, without the ongoing conflict in Ukraine and the widespread insecurity and lawlessness engendered by the activities of the rebel groups in the eastern part of the country, this tragic accident would not have occurred.",claim,[1664],{}
1783,"We want to renew our call for a cessation of hostilities in Ukraine and a return to dialogue and negotiation, within the framework of the Geneva statement of 17 April and the 2 July four-party talks in Berlin.",claim,[1665],{}
1784,Let us together resolve this issue.,non-arg,[],{}
1785,"Let us together close this war front, before its reverberations become manifest in other parts of the world.",non-arg,[],{}
1786,"First, we would like to express our heartfelt condolences to the bereaved families and friends of the passengers and crew of the Malaysia Airlines flight that crashed in Donetsk, as well as to the Governments of the countries whose citizens were on the list of victims of the tragedy.",non-arg,[],{}
1787,An open and impartial investigation of the incident is necessary.,claim,[1666],{}
1788,"There must be no pressure placed on the investigation, or attempts to prejudge its outcome through broad statements or unfounded allegations.",premise,[1667],{}
1789,"Given the complexity of the situation, we believe it would be proper to establish an international commission under the aegis of International Civil Aviation Organization.",claim,"[1668, 1669]","{(1669, 1668): 'support'}"
1790,"I am certain that any normal person would, first and foremost, ask the question as to what led a Ukrainian aviation dispatcher to send a passenger flight through an area of military clashes - an area being used to carry out strikes against civilian targets, among others, and where anti-aircraft systems were operating.",premise,[1670],{}
1791,"In line with international standards, ensuring the security of civilian aviation in a State's airspace is that State's responsibility.",claim,"[1671, 1672]","{(1672, 1671): 'support'}"
1792,The State over whose territory a flight is planned must provide the information necessary to ensure the safety of aviation.,claim,[1673],{}
