id,sentence_claim,sentence_premise,relation
1934,"[3034, ""With the Mission's mandate set to expire on  23 November, we urge the Russian side to demonstrate  a clear commitment to the peaceful resolution of the  crisis in the eastern Ukraine by agreeing to allow OSCE  observers to conduct their monitoring activities at all  border crossings with Ukraine and along the entire  length of the border in the area.""]","[3035, 'That would contribute to  establishing effective border verification by the OSCE,  as foreseen in the Minsk agreements.']",support
1935,"[3036, 'Why is there such  a stark difference in the approaches adopted by Ukraine  and Russia to the role that the OSCE monitors can play  in the current situation?']","[3038, 'Russia and its puppets are not.']",support
1936,"[3036, 'Why is there such  a stark difference in the approaches adopted by Ukraine  and Russia to the role that the OSCE monitors can play  in the current situation?']","[3037, 'Ukraine is open to transparent  monitoring and control.']",support
1937,"[3043, 'Ukraine rejects any rumours about  alleged additional agreements on this issue.']","[3041, 'The new law was adopted by the  Ukrainian Parliament on 16 September.']",support
1938,"[3043, 'Ukraine rejects any rumours about  alleged additional agreements on this issue.']","[3040, 'We agreed in  Minsk to adopt the Ukrainian law on provisional  arrangements for local government in some areas of  Donetsk and Luhansk oblasts - the law on special  status - and to ensure within the provisions of that  law early local elections in some areas of Donetsk and  Luhansk oblasts.']",support
1939,"[3043, 'Ukraine rejects any rumours about  alleged additional agreements on this issue.']","[3044, 'What was  agreed was signed and what was signed was published,  including the OSCE press releases.']",support
1940,"[3043, 'Ukraine rejects any rumours about  alleged additional agreements on this issue.']","[3042, 'According  to that law, local elections in some areas of Donetsk  and Luhansk regions were scheduled for 7 December  and were intended to produce legitimate local self-  governance that would make proper use of enhanced  powers, engage in an inclusive national dialogue and  ensure the reconstruction of Donbas, which has been  severely damaged by the military activities of illegal  armed groups.']",support
1941,"[3046, 'These so-called elections were  conducted in violation of Ukrainian legislation and  international standards and contrary to the third and  ninth articles of the Minsk protocol.']","[3047, 'By opting to  recognize the illegal and illegitimate so-called elections  in certain areas of Donbas, Russia has chosen time and  again to violate the norms of international law and  fundamental OSCE principles and commitments.']",support
1942,"[3046, 'These so-called elections were  conducted in violation of Ukrainian legislation and  international standards and contrary to the third and  ninth articles of the Minsk protocol.']","[3045, 'Contrary to this, on 2 November Russian-backed  terrorists held illegitimate elections for the so-called  presidents and parliaments of illegitimate self-  proclaimed entities in certain areas of the Donetsk  and Luhansk regions.']",support
1943,"[3047, 'By opting to  recognize the illegal and illegitimate so-called elections  in certain areas of Donbas, Russia has chosen time and  again to violate the norms of international law and  fundamental OSCE principles and commitments.']","[3047, 'By opting to  recognize the illegal and illegitimate so-called elections  in certain areas of Donbas, Russia has chosen time and  again to violate the norms of international law and  fundamental OSCE principles and commitments.']",support
1944,"[3047, 'By opting to  recognize the illegal and illegitimate so-called elections  in certain areas of Donbas, Russia has chosen time and  again to violate the norms of international law and  fundamental OSCE principles and commitments.']","[3045, 'Contrary to this, on 2 November Russian-backed  terrorists held illegitimate elections for the so-called  presidents and parliaments of illegitimate self-  proclaimed entities in certain areas of the Donetsk  and Luhansk regions.']",support
1945,"[3048, 'It has  chosen to act in breach of the Minsk agreements.']","[3047, 'By opting to  recognize the illegal and illegitimate so-called elections  in certain areas of Donbas, Russia has chosen time and  again to violate the norms of international law and  fundamental OSCE principles and commitments.']",support
1946,"[3048, 'It has  chosen to act in breach of the Minsk agreements.']","[3045, 'Contrary to this, on 2 November Russian-backed  terrorists held illegitimate elections for the so-called  presidents and parliaments of illegitimate self-  proclaimed entities in certain areas of the Donetsk  and Luhansk regions.']",support
1947,"[3049, ""We are very concerned by the approach of the  Russian Federation that consists in manipulating  peoples' right to self-determination.""]","[3047, 'By opting to  recognize the illegal and illegitimate so-called elections  in certain areas of Donbas, Russia has chosen time and  again to violate the norms of international law and  fundamental OSCE principles and commitments.']",support
1948,"[3050, 'Once again, it  has, as we saw in Crimea, only one priority - to feed  separatism and create frozen conflicts in sovereign  States that Russia treats as zones of national interest.']","[3050, 'Once again, it  has, as we saw in Crimea, only one priority - to feed  separatism and create frozen conflicts in sovereign  States that Russia treats as zones of national interest.']",support
1949,"[3051, 'That is why neither Ukraine nor the international  community will ever recognize the illegal referendum  in Crimea or the illegal pseudo-elections in certain  areas of the Donetsk and Lugansk regions, whatever  their outcomes.']","[3049, ""We are very concerned by the approach of the  Russian Federation that consists in manipulating  peoples' right to self-determination.""]",support
1950,"[3055, 'Nevertheless,  Kyiv has confirmed its commitment to continuing to  observe the ceasefire regime in line with the Minsk  agreements, and called on all involved in the process to  swiftly resume settlement efforts.']","[3054, 'They undermine any trust placed  in signatories who fail to keep their word.']",attack
1951,"[3055, 'Nevertheless,  Kyiv has confirmed its commitment to continuing to  observe the ceasefire regime in line with the Minsk  agreements, and called on all involved in the process to  swiftly resume settlement efforts.']","[3053, 'Illegal elections and continuous violations of  the ceasefire regime by militants, as well as a sharp  increase in the illegal supply of weapons and military  equipment across the border by the Russian Federation,  have seriously undermined the Minsk process towards  a peaceful settlement.']",attack
1952,"[3057, 'We call on Russia, the European Union and the United  States to meet together in the Geneva format in order to  send a clear and consolidated message as well as strong  impetus to the parties concerned to strictly adhere to  the letter and spirit of the Minsk agreements.']","[3057, 'We call on Russia, the European Union and the United  States to meet together in the Geneva format in order to  send a clear and consolidated message as well as strong  impetus to the parties concerned to strictly adhere to  the letter and spirit of the Minsk agreements.']",support
1953,"[3059, 'We continue to demand that the Russian Federation  stop backing illegal armed groups; immediately  and strictly comply with the Minsk agreements by  withdrawing its military forces and weaponry from  the territory of Ukraine; establish joint customs and  border control; release all Ukrainian hostages captured  by Russian forces and their proxies; and stop its  protracted military exercise in close vicinity to our  borders.']","[3058, ""However,  we will not yield to Russia's attempts to compel implicit  international recognition of the ring leaders of illegal  entities in the Donbas by inviting them to this meeting.""]",support
1954,"[3062, 'First, I have said, and I repeat, that of course the  ceasefire and the normalization of the situation are  the key tasks, but they require trust.']","[3061, 'Mr. Pankin (Russian Federation) (spoke in Russian):  I do not want to engage in polemics with the Permanent  Representative of Ukraine, but all the same I wish to  call attention to a few things.']",attack
1955,"[3062, 'First, I have said, and I repeat, that of course the  ceasefire and the normalization of the situation are  the key tasks, but they require trust.']","[3063, ""When we heard  the statements of Ukraine's representatives in late  October, early November and more recently, we were  convinced that Kyiv was not committed to a diplomatic  solution to the conflict.""]",attack
1956,"[3064, 'From the very beginning, the  Kyiv authorities have made no secret of the fact that the  ceasefire would be used for a realignment of forces and  the pursuit of military activities.']","[3065, 'In the framework of what I have said, there is only  one truth.']",support
1957,"[3064, 'From the very beginning, the  Kyiv authorities have made no secret of the fact that the  ceasefire would be used for a realignment of forces and  the pursuit of military activities.']","[3067, 'He said:    ""The ceasefire and the achievement of peace  are going to work in our favour.']",support
1958,"[3064, 'From the very beginning, the  Kyiv authorities have made no secret of the fact that the  ceasefire would be used for a realignment of forces and  the pursuit of military activities.']","[3068, 'All four tank  factories are working three shifts.']",support
1959,"[3064, 'From the very beginning, the  Kyiv authorities have made no secret of the fact that the  ceasefire would be used for a realignment of forces and  the pursuit of military activities.']","[3069, 'Several hundred  armed vehicles have been fully rebuilt and have  entered the anti-terrorist operation area.']",support
1960,"[3064, 'From the very beginning, the  Kyiv authorities have made no secret of the fact that the  ceasefire would be used for a realignment of forces and  the pursuit of military activities.']","[3070, 'We need  the ceasefire regime to receive high-tech equipment  and military and financing assistance from the  West.""    Markiyan Lubkivsky, an adviser to the head of the  Security Service of Ukraine, also said on the national  radio, on 2 November and again on 7 November:    ""Sooner or later, we are going to have to engage  in very proactive activities"" and that ""we will need  three or four years to resolve the situation.']",support
1962,"[3064, 'From the very beginning, the  Kyiv authorities have made no secret of the fact that the  ceasefire would be used for a realignment of forces and  the pursuit of military activities.']","[3071, 'We  think we could win this war based on the Croatian  scenario.']",support
1963,"[3064, 'From the very beginning, the  Kyiv authorities have made no secret of the fact that the  ceasefire would be used for a realignment of forces and  the pursuit of military activities.']","[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']",support
1964,"[3064, 'From the very beginning, the  Kyiv authorities have made no secret of the fact that the  ceasefire would be used for a realignment of forces and  the pursuit of military activities.']","[3066, 'I would like to cite two statements, the first  made by Yuri Lytsenko, an adviser to the President of  Ukraine, on 24 October, before the elections, on the  Ukrainian radio.']",support
1965,"[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']","[3065, 'In the framework of what I have said, there is only  one truth.']",support
1966,"[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']","[3070, 'We need  the ceasefire regime to receive high-tech equipment  and military and financing assistance from the  West.""    Markiyan Lubkivsky, an adviser to the head of the  Security Service of Ukraine, also said on the national  radio, on 2 November and again on 7 November:    ""Sooner or later, we are going to have to engage  in very proactive activities"" and that ""we will need  three or four years to resolve the situation.']",support
1967,"[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']","[3067, 'He said:    ""The ceasefire and the achievement of peace  are going to work in our favour.']",support
1968,"[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']","[3066, 'I would like to cite two statements, the first  made by Yuri Lytsenko, an adviser to the President of  Ukraine, on 24 October, before the elections, on the  Ukrainian radio.']",support
1969,"[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']","[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']",support
1970,"[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']","[3069, 'Several hundred  armed vehicles have been fully rebuilt and have  entered the anti-terrorist operation area.']",support
1971,"[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']","[3068, 'All four tank  factories are working three shifts.']",support
1972,"[3072, 'In 1991, Croatia began the war and it  ended in 1995 as a result of successful special  operations.""    As we can see, there is not a single word about the  implementation ofthe Minsk agreement here, just about  a victory on the battlefield.']","[3071, 'We  think we could win this war based on the Croatian  scenario.']",support
1973,"[3073, 'Secondly, of course some activities do not help the  situation from the Ukrainian perspective.']","[3075, 'Then suddenly on 28 October, the Ukrainian  representative General Dumansky, without offering  any reasons, annulled an accord in which over 80 per  cent of the lines of opposing forces had been delimited.']",support
1974,"[3073, 'Secondly, of course some activities do not help the  situation from the Ukrainian perspective.']","[3074, 'For example,  with respect to the serious matter of the delimitation  of territory, an agreement had been almost 80 per cent  concluded.']",support
1975,"[3077, 'First, I cannot answer because I do  not know if that is true or what sources of information  are being cited.']","[3077, 'First, I cannot answer because I do  not know if that is true or what sources of information  are being cited.']",support
1976,"[3077, 'First, I cannot answer because I do  not know if that is true or what sources of information  are being cited.']","[3076, 'Lastly, as Iunderstand it, the Ukrainian representative  asked me here and now to an answer the question why  several hundred units and vast amounts of Russian  military equipment are being concentrated on the  Ukrainian border.']",support
1977,"[3078, 'Those are horrific numbers; they are  very striking, even to me.']","[3077, 'First, I cannot answer because I do  not know if that is true or what sources of information  are being cited.']",attack
1978,"[3080, 'It will be agreed  that the equipment and the Russian armed forces are  on the territory of my country and are not threatening  Ukraine.']","[3079, 'I am ready to respond to that  question in a more specific manner.']",support
1979,"[3082, 'Thus,  inciting such emotions in the Security Council, as if  there were going to be such huge attack on Ukraine,  does not help the constructive discussions that all here  are counselling and that we too endorse.']","[3081, 'They are not leaving my country.']",support
1980,"[3083, 'Mr. Sergeyev (Ukraine): I too do not want to  continue this dialogue because it is going nowhere.']","[3083, 'Mr. Sergeyev (Ukraine): I too do not want to  continue this dialogue because it is going nowhere.']",support
1981,"[3084, 'I  would just remind our Russian colleague, citing one of  the most famous Russian writers, Turgenev:    (spoke in Russian)    ""There is one truth for everyone.']","[3084, 'I  would just remind our Russian colleague, citing one of  the most famous Russian writers, Turgenev:    (spoke in Russian)    ""There is one truth for everyone.']",support
1982,"[3085, 'Everyone has  their own truth, but there is only one real truth.""    (spoke in English)    The problem is that the Russian representative  quoted two advisers to somebody, and raised the  issue of trust.']","[3084, 'I  would just remind our Russian colleague, citing one of  the most famous Russian writers, Turgenev:    (spoke in Russian)    ""There is one truth for everyone.']",support
1983,"[3087, 'That is why they  are worrying about what is going on.']","[3086, 'I do not have the quotation, but all of us  remember that three or four times the Russian President  promised the world community - the last time it was a  decision * to withdraw those troops.']",support
1984,"[3087, 'That is why they  are worrying about what is going on.']","[3085, 'Everyone has  their own truth, but there is only one real truth.""    (spoke in English)    The problem is that the Russian representative  quoted two advisers to somebody, and raised the  issue of trust.']",support
1985,"[3088, 'We are worrying  about where the armaments are coming from - from  the regular Russian army or from somebody else  in Russia?']","[3091, 'Why, despite  the promises, are huge amounts of armaments and  personnel - around 49,000 people - still positioned  along the Ukrainian border?']",attack
1986,"[3092, 'This is about trust.']","[3091, 'Why, despite  the promises, are huge amounts of armaments and  personnel - around 49,000 people - still positioned  along the Ukrainian border?']",support
1987,"[3092, 'This is about trust.']","[3085, 'Everyone has  their own truth, but there is only one real truth.""    (spoke in English)    The problem is that the Russian representative  quoted two advisers to somebody, and raised the  issue of trust.']",attack
1988,"[3093, 'How  can we come back if we have lost confidence, if the  Russian leadership - not our adviser to somebody,  stating something - promised and and yet has failed  to deliver?']","[3091, 'Why, despite  the promises, are huge amounts of armaments and  personnel - around 49,000 people - still positioned  along the Ukrainian border?']",support
1989,"[3093, 'How  can we come back if we have lost confidence, if the  Russian leadership - not our adviser to somebody,  stating something - promised and and yet has failed  to deliver?']","[3094, 'I will give the Council the figures.']",support
1990,"[3093, 'How  can we come back if we have lost confidence, if the  Russian leadership - not our adviser to somebody,  stating something - promised and and yet has failed  to deliver?']","[3095, 'They are not  secret because they come from different sources.']",support
1991,"[3093, 'How  can we come back if we have lost confidence, if the  Russian leadership - not our adviser to somebody,  stating something - promised and and yet has failed  to deliver?']","[3096, 'Council members may brief their colleagues in any  format convenient to them, but that is what we have  from a variety of sources.']",support
1992,"[3098, 'What are  the troops doing?']","[3097, 'The OSCE keeps demanding,  under agreements to which the Russian Federation is  party, information concerning those flanks, limits and  excercises which Russia is obligated to report.']",attack
1993,"[3099, 'They have been carrying out exercises  since February or March, without explanation.']","[3097, 'The OSCE keeps demanding,  under agreements to which the Russian Federation is  party, information concerning those flanks, limits and  excercises which Russia is obligated to report.']",attack
1994,"[3100, 'That is  about trust.']","[3085, 'Everyone has  their own truth, but there is only one real truth.""    (spoke in English)    The problem is that the Russian representative  quoted two advisers to somebody, and raised the  issue of trust.']",attack
1995,"[3102, 'Murmokaite (Lithuania): I thank Under-  Secretary-General Feltman for his briefing, and I thank  you, Mr. President, for convening this open meeting  in view of the recent deterioration of the situation in  eastern Ukraine and continuous violations ofthe Minsk  agreements.']","[3103, 'Both Russia and the Russian-sponsored  illegal militants persist in interpreting the ceasefire in  their own twisted way: Ukraine must cease while the  militants can continue to fire.']",support
1996,"[3104, 'I believe that no one in this Chamber has any doubt  that a country under attack would do its utmost to protect  itself.']","[3103, 'Both Russia and the Russian-sponsored  illegal militants persist in interpreting the ceasefire in  their own twisted way: Ukraine must cease while the  militants can continue to fire.']",support
1997,"[3104, 'I believe that no one in this Chamber has any doubt  that a country under attack would do its utmost to protect  itself.']","[3105, 'In the face of aggression, it is the inherent right  of each and every State to defend its land and its people.']",support
1998,"[3106, 'That is exactly what Ukraine is doing - defending  itself in the face of the ongoing attacks against its  unity, sovereignty, and territorial integrity.']","[3105, 'In the face of aggression, it is the inherent right  of each and every State to defend its land and its people.']",support
1999,"[3108, ""The militants,  however, have benefited from Ukraine's restraint by  regrouping, rearming and grabbing more land.""]","[3107, 'Time  and again in recent months, its leadership has sought  to salvage the ceasefire with new proposals, new  deadlines and new periods of silence.']",attack
2000,"[3108, ""The militants,  however, have benefited from Ukraine's restraint by  regrouping, rearming and grabbing more land.""]","[3109, 'Since  the start of the ceasefire, the militants have captured  an extra 550 square kilometres of Ukrainian territory  between Donetsk and Mariupol and, according to their  commanders, have no intention of stopping.']",support
2001,"[3110, ""In spite of the many calls of the international  community to close its borders to the illegal flows of  arms and foreign fighters, Russia's borders remain  wide open to the flow of deadly weaponry and  soldiers of fortune.""]","[3110, ""In spite of the many calls of the international  community to close its borders to the illegal flows of  arms and foreign fighters, Russia's borders remain  wide open to the flow of deadly weaponry and  soldiers of fortune.""]",attack
2002,"[3110, ""In spite of the many calls of the international  community to close its borders to the illegal flows of  arms and foreign fighters, Russia's borders remain  wide open to the flow of deadly weaponry and  soldiers of fortune.""]","[3111, 'Here is a typical excerpt from the  16 January report of the smm of the Special Monitoring  Mission (SMM) of the Organization for Security and  Cooperation in Europe (OSCE):    ""The SMM.']",support
2003,"[3110, ""In spite of the many calls of the international  community to close its borders to the illegal flows of  arms and foreign fighters, Russia's borders remain  wide open to the flow of deadly weaponry and  soldiers of fortune.""]","[3113, 'Two unmarked  T-80 battle tanks were seen by the SMM.']",support
2004,"[3110, ""In spite of the many calls of the international  community to close its borders to the illegal flows of  arms and foreign fighters, Russia's borders remain  wide open to the flow of deadly weaponry and  soldiers of fortune.""]","[3115, 'observed a  convoy of 21 military-style Ural and KAMAZ  trucks, also unmarked, heading south on a highway  near Starobesheve Four of the trucks carried  what appeared to be communication equipment,  while the remaining trucks were covered.""    Here is another report.']",support
2005,"[3110, ""In spite of the many calls of the international  community to close its borders to the illegal flows of  arms and foreign fighters, Russia's borders remain  wide open to the flow of deadly weaponry and  soldiers of fortune.""]","[3116, 'In the weekly update for the  period of 15-21 January, the OSCE observer mission at  Gukovo and Donetsk noted:    ""The OM.']",support
2006,"[3110, ""In spite of the many calls of the international  community to close its borders to the illegal flows of  arms and foreign fighters, Russia's borders remain  wide open to the flow of deadly weaponry and  soldiers of fortune.""]","[3118, 'During the reporting period,  the Obersvation Teams observed 396 men and  women in military-style dress crossing the border  in both directions...']",support
2007,"[3110, ""In spite of the many calls of the international  community to close its borders to the illegal flows of  arms and foreign fighters, Russia's borders remain  wide open to the flow of deadly weaponry and  soldiers of fortune.""]","[3119, 'Ninety-three percent of border  crossings occurred at the Donetsk BCP.""    The little that can be gleaned from the two  kilometres where the OSCE observer mission is active  is clearly indicative of what is happening away from  the eyes of the observers.']",support
2008,"[3120, 'It is no wonder that Russia  keeps blocking all attempts to expand the OSCE border  observer mission to cover more ground.']","[3119, 'Ninety-three percent of border  crossings occurred at the Donetsk BCP.""    The little that can be gleaned from the two  kilometres where the OSCE observer mission is active  is clearly indicative of what is happening away from  the eyes of the observers.']",support
2009,"[3120, 'It is no wonder that Russia  keeps blocking all attempts to expand the OSCE border  observer mission to cover more ground.']","[3121, 'The Ukrainian  sources estimate that as of 15 January, the separatists  had 542 tanks, 990 armoured personnel carriers, nearly  700 artillery systems, some 70 Grad rockets and 57 air  defence systems.']",support
2010,"[3125, 'The war in eastern Ukraine is not a civil war,  as some try to portray it, but a calculated and systematic  attempt to destabilize Ukraine - a foreign-sponsored  war.']","[3122, ""How on Earth, but for Russia's continued supply,  could a ragtag bunch of illegal militants obtain such  an impressive arsenal of sophisticated heavy weaponry  and arms, which by now could well rival the arsenals of  the smaller European States?""]",support
2011,"[3125, 'The war in eastern Ukraine is not a civil war,  as some try to portray it, but a calculated and systematic  attempt to destabilize Ukraine - a foreign-sponsored  war.']","[3123, ""And where on Earth, but  for Russia's continued support, could a ragtag bunch of  militants get the millions needed to buy all that heavy  weaponry and machinery, especially in an area where  the local inhabitants are said to be starving and local  hospitals cannot even buy bread for their patients?""]",support
2012,"[3125, 'The war in eastern Ukraine is not a civil war,  as some try to portray it, but a calculated and systematic  attempt to destabilize Ukraine - a foreign-sponsored  war.']","[3126, 'Backed by sophisticated weaponry including Grad  rockets, artillery systems, modern tanks, armoured  personnel carriers, and an influx of foreign mercenaries,  the militants continue their barrage of deadly attacks.']",support
2013,"[3125, 'The war in eastern Ukraine is not a civil war,  as some try to portray it, but a calculated and systematic  attempt to destabilize Ukraine - a foreign-sponsored  war.']","[3121, 'The Ukrainian  sources estimate that as of 15 January, the separatists  had 542 tanks, 990 armoured personnel carriers, nearly  700 artillery systems, some 70 Grad rockets and 57 air  defence systems.']",support
2014,"[3125, 'The war in eastern Ukraine is not a civil war,  as some try to portray it, but a calculated and systematic  attempt to destabilize Ukraine - a foreign-sponsored  war.']","[3124, ""So  much for Russia's claims that it is not a party to this  conflict.""]",attack
2015,"[3132, 'We must ensure that perpetrators of this reprehensible  act, and all the countless acts of violence and gross  violations of human rights, especially around the areas  held by the illegal separatist groups, are brought to  account.']","[3128, 'Yesterday again, intensive fighting was reported in  several locations, including north-west of Luhansk,  where militants destroyed, with massive artillery fire,  and occupied one of the checkpoints of the Ukrainian  military.']",support
2016,"[3132, 'We must ensure that perpetrators of this reprehensible  act, and all the countless acts of violence and gross  violations of human rights, especially around the areas  held by the illegal separatist groups, are brought to  account.']","[3127, 'The past few weeks in particular have seen a disturbing  increase in ceasefire violations, including a massive  onslaught by the militants on the Donetsk airport.']",support
2017,"[3132, 'We must ensure that perpetrators of this reprehensible  act, and all the countless acts of violence and gross  violations of human rights, especially around the areas  held by the illegal separatist groups, are brought to  account.']","[3130, 'Overall,  since the announcement of the ceasefire on 5 September  2014, Ukrainian forces and civilians have been shelled  more than 5,660 times, some 1,500 Ukrainian military  have been killed and wounded, and at least 151 civilians  have been killed.']",support
2018,"[3132, 'We must ensure that perpetrators of this reprehensible  act, and all the countless acts of violence and gross  violations of human rights, especially around the areas  held by the illegal separatist groups, are brought to  account.']","[3129, 'Growing evidence points to a systematic use by the  militants of residential areas as a cover for launching  Grad rockets and shelling the Ukrainian forces.']",support
2019,"[3132, 'We must ensure that perpetrators of this reprehensible  act, and all the countless acts of violence and gross  violations of human rights, especially around the areas  held by the illegal separatist groups, are brought to  account.']","[3131, 'We look forward to the results of a  thorough investigation of the Volnovakha bus attack.']",support
2020,"[3133, 'While every defensive move by Ukraine is blasted  by the Russian propaganda as ceasefire violations,  Russia has never even once condemned or disowned the  illegal and lawless separatist militants.']","[3134, 'On the contrary.']",support
2021,"[3133, 'While every defensive move by Ukraine is blasted  by the Russian propaganda as ceasefire violations,  Russia has never even once condemned or disowned the  illegal and lawless separatist militants.']","[3133, 'While every defensive move by Ukraine is blasted  by the Russian propaganda as ceasefire violations,  Russia has never even once condemned or disowned the  illegal and lawless separatist militants.']",attack
2022,"[3133, 'While every defensive move by Ukraine is blasted  by the Russian propaganda as ceasefire violations,  Russia has never even once condemned or disowned the  illegal and lawless separatist militants.']","[3135, ""Russia's intentions to rewrite the Minsk agreements in  a way that would legitimize and accept the territorial  gains achieved by the militants speaks to the Kremlin's  wholehearted support for those criminals.""]",support
2023,"[3135, ""Russia's intentions to rewrite the Minsk agreements in  a way that would legitimize and accept the territorial  gains achieved by the militants speaks to the Kremlin's  wholehearted support for those criminals.""]","[3135, ""Russia's intentions to rewrite the Minsk agreements in  a way that would legitimize and accept the territorial  gains achieved by the militants speaks to the Kremlin's  wholehearted support for those criminals.""]",support
2024,"[3136, 'Lithuania  rejects all calls to renegotiate the terms ofthe ceasefire.']","[3137, 'The agreed parameters of the ceasefire already exist  and must be respected.']",support
2025,"[3138, 'We urge all sides, in particular  Russia, to engage and fully implement the Minsk  agreements in their entirety and without any further  delay.']","[3137, 'The agreed parameters of the ceasefire already exist  and must be respected.']",support
2026,"[3139, 'IfRussia is genuinely interested in putting an end to  the devastating violence and deaths in eastern Ukraine,  including the deaths of its own nameless soldiers sent  to wage a war against a brotherly nation, it must stop  destabilizing Ukraine, stop military supplies to its  proxies, stop the illegal separatist groups and withdraw  all military equipment.']","[3139, 'IfRussia is genuinely interested in putting an end to  the devastating violence and deaths in eastern Ukraine,  including the deaths of its own nameless soldiers sent  to wage a war against a brotherly nation, it must stop  destabilizing Ukraine, stop military supplies to its  proxies, stop the illegal separatist groups and withdraw  all military equipment.']",support
2027,"[3140, 'The Ukrainian- Russian State  border must be secured.']","[3139, 'IfRussia is genuinely interested in putting an end to  the devastating violence and deaths in eastern Ukraine,  including the deaths of its own nameless soldiers sent  to wage a war against a brotherly nation, it must stop  destabilizing Ukraine, stop military supplies to its  proxies, stop the illegal separatist groups and withdraw  all military equipment.']",support
2028,"[3142, 'All hostages and illegally  detained persons must be released, including the  Ukrainian pilot Nadiya Savchenko, who was kidnapped  and is being held illegally in Russia.']","[3142, 'All hostages and illegally  detained persons must be released, including the  Ukrainian pilot Nadiya Savchenko, who was kidnapped  and is being held illegally in Russia.']",support
2029,"[3143, ""International observers, including the United  Nations and OSCE monitoring missions, must be  allowed full and unconditional access throughout  Ukraine's territory, including Crimea.""]","[3144, ""International  monitors' full, unobstructed access to Crimea remains  particularly important in the light of the continuous  deterioration of the situation of the indigenous Tatar  community since the annexation by Russia of the  region.""]",support
2030,"[3152, 'We keep meeting on Ukraine  because, despite countless commitments made to the  international community to de-escalate - here in the  Council and in Geneva, Minsk, Berlin, Normandy  and elsewhere - Russia continues to choose a path of  escalation and obfuscation.']","[3152, 'We keep meeting on Ukraine  because, despite countless commitments made to the  international community to de-escalate - here in the  Council and in Geneva, Minsk, Berlin, Normandy  and elsewhere - Russia continues to choose a path of  escalation and obfuscation.']",attack
2031,"[3152, 'We keep meeting on Ukraine  because, despite countless commitments made to the  international community to de-escalate - here in the  Council and in Geneva, Minsk, Berlin, Normandy  and elsewhere - Russia continues to choose a path of  escalation and obfuscation.']","[3153, 'In addition to occupying  Crimea, Russia continues to train, equip and fight  alongside separatists in eastern Ukraine.']",support
2032,"[3154, ""Indeed, Russia  has so consistently broken its commitments and violated  its obligations not to lop off part of another country  that some in the Council may begin to accept Russia's  behaviour as an unfortunate but inevitable reality, a  new normal that would be dangerous for Ukraine and  dangerous for international peace and security, because  complacency would reward aggression and threaten the  basic rules on which our collective security rests.""]","[3154, ""Indeed, Russia  has so consistently broken its commitments and violated  its obligations not to lop off part of another country  that some in the Council may begin to accept Russia's  behaviour as an unfortunate but inevitable reality, a  new normal that would be dangerous for Ukraine and  dangerous for international peace and security, because  complacency would reward aggression and threaten the  basic rules on which our collective security rests.""]",support
2034,"[3155, 'The current situation is dangerous.']","[3156, 'It is dangerous  because Russia continues to train and equip separatists  with heavy weapons and to fight by their side, in flagrant  violation of the September Minsk agreement, Ukrainian  sovereignty and international law.']",support
2035,"[3155, 'The current situation is dangerous.']","[3173, 'It is dangerous  because separatists continue to harass, threaten  and intimidate the impartial monitors deployed by  the OSCE, - monitors who serve on behalf of the  international community.']",support
2036,"[3155, 'The current situation is dangerous.']","[3174, 'According to a 14 January  OSCE Special Monitoring Mission (SMM) to Ukraine  report, the SMM.']",support
2037,"[3155, 'The current situation is dangerous.']","[3176, 'Separatist guards kept their guns pointed at the monitors  during the exchange, the monitors said, even though the  team posed no threat and, mercifully, had no camera.']",support
2038,"[3155, 'The current situation is dangerous.']","[3178, 'It is dangerous  because Russia continues to break commitments it has  made to the escalades.']",support
2039,"[3155, 'The current situation is dangerous.']","[3187, 'Indelible  images of the blood-soaked snow alongside the bus,  of its blown-out windows and the gapping holes left  in its seats and curtains, of the gory steps to the back  entrance of the bus - these images are unforgettable.']",support
