ID,Speech,Sentence_ID,Full_Sentence,Component,Component_Type,Premises
236,UNSC_2014_SPV.7154_spch011_AU,213,"If all that sounds familiar, it is because we have seen the playbook used by Russia in Crimea.","[217, 'it is because we have seen the playbook used by Russia in Crimea.']",premise,{}
237,UNSC_2014_SPV.7154_spch011_AU,214,"In that case, it became clear that the militias were in fact Russian forces.","[218, 'it became clear that the militias were in fact Russian forces.']",premise,{}
238,UNSC_2014_SPV.7154_spch011_AU,215,We condemn any use ofproxy forces.,"[219, 'We condemn any use ofproxy forces.']",claim,{218: 'support'}
239,UNSC_2014_SPV.7154_spch011_AU,216,A State cannot seek to avoid responsibility for its actions by attempting to cloak the identity of those working on its behalf.,"[220, 'A State cannot seek to avoid responsibility for its actions by attempting to cloak the identity of those working on its behalf.']",claim,{221: 'support'}
240,UNSC_2014_SPV.7154_spch011_AU,217,The principles of State responsibility make it very clear that a State bears international responsibility for acts undertaken by informal actors whom it engages on its behalf.,"[221, 'The principles of State responsibility make it very clear that a State bears international responsibility for acts undertaken by informal actors whom it engages on its behalf.']",premise,{}
241,UNSC_2014_SPV.7154_spch011_AU,218,"We have heard Russia's statement about the crisis taking place in eastern Ukraine, but what we are actually witnessing is Violence and destabilization in an effort to manufacture a sense of crisis and separatism.","[222, ""We have heard Russia's statement about the crisis taking place in eastern Ukraine""]",premise,{}
242,UNSC_2014_SPV.7154_spch011_AU,218,"We have heard Russia's statement about the crisis taking place in eastern Ukraine, but what we are actually witnessing is Violence and destabilization in an effort to manufacture a sense of crisis and separatism.","[223, 'but what we are actually witnessing is Violence and destabilization in an effort to manufacture a sense of crisis and separatism.']",claim,"{226: 'support', 222: 'attack', 225: 'support'}"
243,UNSC_2014_SPV.7154_spch011_AU,219,Ukraine's response to those provocations has been one of restraint under intolerable threats to its stability and independence.,"[224, ""Ukraine's response to those provocations has been one of restraint under intolerable threats to its stability and independence.""]",claim,standalone
244,UNSC_2014_SPV.7154_spch011_AU,220,There is no evidence of actions directed at Russian speakers in eastern Ukraine that could possibly justify an intervention by Russia.,"[225, 'There is no evidence of actions directed at Russian speakers in eastern Ukraine that could possibly justify an intervention by Russia.']",premise,{}
245,UNSC_2014_SPV.7154_spch011_AU,221,Nor is there the generalized anarchy claimed.,"[226, 'Nor is there the generalized anarchy claimed.']",premise,{}
246,UNSC_2014_SPV.7154_spch011_AU,222,"The ongoing work of the special mission of the Organization for Security and Cooperation in Europe is all the more important for providing an objective account of the situation in eastern Ukraine, and we welcome the information that the number of monitors will be significantly increased in coming days.","[227, 'The ongoing work of the special mission of the Organization for Security and Cooperation in Europe is all the more important for providing an objective account of the situation in eastern Ukraine, and we welcome the information that the number of monitors will be significantly increased in coming days.']",claim,standalone
247,UNSC_2014_SPV.7154_spch011_AU,223,International condemnation of Russia's actions against Ukraine in the past six weeks has been resounding.,"[228, ""International condemnation of Russia's actions against Ukraine in the past six weeks has been resounding.""]",premise,{}
248,UNSC_2014_SPV.7154_spch011_AU,224,General Assembly resolution 68/262 unambiguously condemned the threat and use of force in this manner as contrary to the Charter of the United Nations and to Russia's specific treaty obligations to Ukraine.,"[229, ""General Assembly resolution 68/262 unambiguously condemned the threat and use of force in this manner as contrary to the Charter of the United Nations and to Russia's specific treaty obligations to Ukraine.""]",premise,{}
249,UNSC_2014_SPV.7154_spch011_AU,225,"Many countries, including my own, have imposed unilateral sanctions to register the depth of their concern.","[230, 'Many countries, including my own, have imposed unilateral sanctions to register the depth of their concern.']",premise,{}
250,UNSC_2014_SPV.7154_spch011_AU,226,Repeated calls for de-escalation have been ignored.,"[231, 'Repeated calls for de-escalation have been ignored.']",claim,"{232: 'support', 228: 'attack', 229: 'attack', 230: 'attack'}"
251,UNSC_2014_SPV.7154_spch011_AU,227,Russia's major military build-up along Ukraine's eastern border has been a significant and deliberation provocation that only further escalates tensions and the likelihood of conflict.,"[232, ""Russia's major military build-up along Ukraine's eastern border has been a significant and deliberation provocation that only further escalates tensions and the likelihood of conflict.""]",premise,{}
252,UNSC_2014_SPV.7154_spch011_AU,228,"It deepens Russia's own isolation and also, of course, strengthens the resolve of the international community to stand with and support Ukraine as it seeks to maintain its sovereignty and territorial integrity.","[233, ""It deepens Russia's own isolation and also, of course, strengthens the resolve of the international community to stand with and support Ukraine as it seeks to maintain its sovereignty and territorial integrity.""]",claim,{232: 'support'}
253,UNSC_2014_SPV.7154_spch011_AU,229,"The only way forward, as we all know, is de-escalation, dialogue and the free elections that are planned for 25 May.","[234, 'The only way forward, as we all know, is de-escalation, dialogue and the free elections that are planned for 25 May.']",premise,{}
254,UNSC_2014_SPV.7154_spch011_AU,230,And Ukraine must be allowed to prepare for those elections without the interference and coercion we are witnessing.,"[235, 'And Ukraine must be allowed to prepare for those elections without the interference and coercion we are witnessing.']",claim,{234: 'support'}
255,UNSC_2014_SPV.7154_spch011_AU,231,But talks can take place only with genuine commitment and good faith on all sides.,"[236, 'But talks can take place only with genuine commitment and good faith on all sides.']",claim,{237: 'support'}
256,UNSC_2014_SPV.7154_spch011_AU,232,"The talks between Russia, Ukraine, the European Union and the United States planned for 17 April are an essential step in that direction, but can take place successfully only on that basis.","[237, 'The talks between Russia, Ukraine, the European Union and the United States planned for 17 April are an essential step in that direction']",premise,{}
257,UNSC_2014_SPV.7154_spch011_AU,232,"The talks between Russia, Ukraine, the European Union and the United States planned for 17 April are an essential step in that direction, but can take place successfully only on that basis.","[238, 'can take place successfully only on that basis']",claim,"{237: 'support', 239: 'attack'}"
258,UNSC_2014_SPV.7154_spch011_AU,233,Attempts to change the facts on the ground are completely contrary to dialogue and peaceful resolution.,"[239, 'Attempts to change the facts on the ground are completely contrary to dialogue and peaceful resolution.']",premise,{}
259,UNSC_2014_SPV.7154_spch011_AU,234,"We call on Russia to work immediately to reduce tensions, stop its destabilization and withdraw its forces from the provocative posture they have assumed on Ukraine's border.","[240, ""We call on Russia to work immediately to reduce tensions, stop its destabilization and withdraw its forces from the provocative posture they have assumed on Ukraine's border.""]",claim,{239: 'support'}
260,UNSC_2014_SPV.7154_spch011_AU,235,We have heard assurances in the past that Russia will take such action.,"[241, 'We have heard assurances in the past that Russia will take such action.']",premise,{}
261,UNSC_2014_SPV.7154_spch011_AU,236,It now really is imperative that it do so.,"[242, 'It now really is imperative that it do so.']",claim,{241: 'attack'}
262,UNSC_2014_SPV.7154_spch012_CN_pos,237,I would like to thank Assistant Secretary-General Fernandez-Taranco for his briefing.,non-arg,non-arg,non-arg
263,UNSC_2014_SPV.7154_spch012_CN_pos,238,China is deeply worried about the recent escalation of the situation in Ukraine.,"[243, 'China is deeply worried about the recent escalation of the situation in Ukraine.']",claim,standalone
264,UNSC_2014_SPV.7154_spch012_CN_pos,239,"We hope that the relevant parties will remain calm, exercise restraint and avoid any further deterioration of the situation.","[244, 'We hope that the relevant parties will remain calm, exercise restraint and avoid any further deterioration of the situation.']",claim,standalone
265,UNSC_2014_SPV.7154_spch012_CN_pos,240,Settling the question of Ukraine involves the interests and concerns of all parties.,"[245, 'Settling the question of Ukraine involves the interests and concerns of all parties.']",premise,{}
266,UNSC_2014_SPV.7154_spch012_CN_pos,241,It should be considered in a balanced manner.,"[246, 'It should be considered in a balanced manner.']",claim,{245: 'support'}
267,UNSC_2014_SPV.7154_spch012_CN_pos,242,Political and diplomatic channels should continue to be pursued in order to narrow differences and settle the issue within the framework of law and order.,"[247, 'Political and diplomatic channels should continue to be pursued']",claim,{248: 'support'}
268,UNSC_2014_SPV.7154_spch012_CN_pos,242,Political and diplomatic channels should continue to be pursued in order to narrow differences and settle the issue within the framework of law and order.,"[248, 'in order to narrow differences and settle the issue within the framework of law and order.']",premise,{}
269,UNSC_2014_SPV.7154_spch012_CN_pos,243,"China has consistently called on the international community to make constructive efforts and employ good offices to ease the situation in Ukraine, and will continue to support the international community in those endeavours.","[249, 'China has consistently called on the international community to make constructive efforts and employ good offices to ease the situation in Ukraine, and will continue to support the international community in those endeavours.']",claim,{248: 'support'}
270,UNSC_2014_SPV.7154_spch013_AR,244,"Mrs. Perceval (Argentina) (spoke in Spanish): I,
too, would like to thank Assistant Secretary-General
for Political Affairs Oscar Fernandez-Taranco for his
briefing on the developments in Ukraine and on the
involvement of the United Nations.",non-arg,non-arg,non-arg
271,UNSC_2014_SPV.7154_spch013_AR,245,"I also welcome the
presence of the Permanent Representative of Ukraine
at this meeting.",non-arg,non-arg,non-arg
272,UNSC_2014_SPV.7154_spch013_AR,246,"Argentina continues to follow the situation
with concern, in particular in the east of Ukraine.",non-arg,non-arg,non-arg
273,UNSC_2014_SPV.7154_spch013_AR,247,"Undoubtedly, the situation has deteriorated, with
further tensions and violence, and we cannot remain
indifferent to that.","[250, 'the situation has deteriorated, with\nfurther tensions and violence, and we cannot remain\nindifferent to that.']",claim,standalone
274,UNSC_2014_SPV.7154_spch013_AR,248,"We are deeply concerned that the
tension and violence may continue and indeed worsen.","[251, 'We are deeply concerned that the\ntension and violence may continue and indeed worsen.']",claim,standalone
275,UNSC_2014_SPV.7154_spch013_AR,249,"We are also concerned about the consequences for
Ukraine and the region.",non-arg,non-arg,non-arg
276,UNSC_2014_SPV.7154_spch013_AR,250,"The delegation of Argentina reiterates that it
is essential that we adhere to the principles that we
subscribe to as Members of the United Nations.","[252, 'it\nis essential that we adhere to the principles that we\nsubscribe to as Members of the United Nations.']",claim,standalone
277,UNSC_2014_SPV.7154_spch013_AR,251,"In
particular, we must remember our commitment to
non-interference in the internal affairs of States,
whether militarily, politically or economically.","[253, 'we must remember our commitment to\nnon-interference in the internal affairs of States,\nwhether militarily, politically or economically.']",claim,standalone
278,UNSC_2014_SPV.7154_spch013_AR,252,"In
that respect, we believe that the action of any State or
international organization must duly respect Ukraine's
handling of its own affairs.","[254, ""we believe that the action of any State or\ninternational organization must duly respect Ukraine's\nhandling of its own affairs.""]",claim,standalone
279,UNSC_2014_SPV.7154_spch013_AR,253,"As we have expressed on
several occasions, the situation will not be resolved
through any kind of unilateral action.","[255, 'the situation will not be resolved\nthrough any kind of unilateral action.']",premise,{}
280,UNSC_2014_SPV.7154_spch013_AR,254,"It is crucial that
the use of force be avoided.","[256, 'It is crucial that\nthe use of force be avoided.']",claim,standalone
281,UNSC_2014_SPV.7154_spch013_AR,255,"We join the Secretary-
General today in calling on all parties to endeavour
to bring calm to the situation.","[257, 'We join the Secretary-\nGeneral today in calling on all parties to endeavour\nto bring calm to the situation.']",claim,standalone
282,UNSC_2014_SPV.7154_spch013_AR,256,"Maximal self-restraint
must be shown, and constructive dialogue sought and
established on an urgent basis in order to de-escalate
the situation and address the parties' differences.","[258, 'Maximal self-restraint\nmust be shown']",claim,standalone
283,UNSC_2014_SPV.7154_spch013_AR,256,"Maximal self-restraint
must be shown, and constructive dialogue sought and
established on an urgent basis in order to de-escalate
the situation and address the parties' differences.","[259, 'constructive dialogue sought and\nestablished on an urgent basis']",claim,"{255: 'support', 260: 'support'}"
284,UNSC_2014_SPV.7154_spch013_AR,256,"Maximal self-restraint
must be shown, and constructive dialogue sought and
established on an urgent basis in order to de-escalate
the situation and address the parties' differences.","[260, ""in order to de-escalate\nthe situation and address the parties' differences.""]",premise,{}
285,UNSC_2014_SPV.7154_spch013_AR,257,"In conclusion, Argentina will continue to promote
dialogue and a peaceful settlement of the crisis.","[261, 'Argentina will continue to promote\ndialogue and a peaceful settlement of the crisis.']",claim,{260: 'support'}
286,UNSC_2014_SPV.7154_spch013_AR,258,"It is
essential to step up efforts to create the conditions
necessary for urgent dialogue to begin so that solutions
can be found to the parties' differences and the interests
of all minorities are taken into account.","[262, 'It is\nessential to step up efforts to create the conditions\nnecessary for urgent dialogue to begin']",claim,{263: 'support'}
287,UNSC_2014_SPV.7154_spch013_AR,258,"It is
essential to step up efforts to create the conditions
necessary for urgent dialogue to begin so that solutions
can be found to the parties' differences and the interests
of all minorities are taken into account.","[263, ""solutions\ncan be found to the parties' differences and the interests\nof all minorities are taken into account.""]",premise,{}
288,UNSC_2014_SPV.7154_spch013_AR,259,"The multilateral
meeting among the United States, the Russian
Federation and the European Union that is planned
for Thursday, 17 April will present an opportunity to
do so.",non-arg,non-arg,non-arg
289,UNSC_2014_SPV.7154_spch013_AR,260,"We hope that those main actors will be able to
achieve the agreement necessary.",non-arg,non-arg,non-arg
290,UNSC_2014_SPV.7154_spch013_AR,261,"We reiterate that the
international community should concentrate its efforts
on establishing dialogue.","[264, 'the\ninternational community should concentrate its efforts\non establishing dialogue.']",claim,standalone
291,UNSC_2014_SPV.7154_spch013_AR,262,"We stress that Ukrainians
must have a democratic and peaceful outcome to the
situation.","[265, 'Ukrainians\nmust have a democratic and peaceful outcome to the\nsituation.']",claim,standalone
292,UNSC_2014_SPV.7154_spch014_KR_neg,263,Ithank Assistant Secretary-General Oscar Fernandez-Taranco for his briefing.,non-arg,non-arg,non-arg
293,UNSC_2014_SPV.7154_spch014_KR_neg,264,The Republic of Korea is closely watching the recent developments in the eastern part of Ukraine.,non-arg,non-arg,non-arg
294,UNSC_2014_SPV.7154_spch014_KR_neg,265,"We are deeply concerned over the escalation of tensions in various cities of eastern Ukraine, including the worrying seizure of key public buildings in Donetsk and Slovyansk by force.","[266, 'We are deeply concerned over the escalation of tensions in various cities of eastern Ukraine, including the worrying seizure of key public buildings in Donetsk and Slovyansk by force.']",claim,{267: 'support'}
295,UNSC_2014_SPV.7154_spch014_KR_neg,266,"Those actions will only further exacerbate the already tense situation, and we condemn any use of force to change the situation on the ground.","[267, 'Those actions will only further exacerbate the already tense situation']",premise,{}
296,UNSC_2014_SPV.7154_spch014_KR_neg,266,"Those actions will only further exacerbate the already tense situation, and we condemn any use of force to change the situation on the ground.","[268, 'we condemn any use of force to change the situation on the ground.']",claim,{267: 'support'}
297,UNSC_2014_SPV.7154_spch014_KR_neg,267,"As Ukraine moves towards critical elections in May, we believe that political differences must be addressed in a non-violent way through a legitimate process.","[269, 'As Ukraine moves towards critical elections in May,']",premise,{}
298,UNSC_2014_SPV.7154_spch014_KR_neg,267,"As Ukraine moves towards critical elections in May, we believe that political differences must be addressed in a non-violent way through a legitimate process.","[270, 'we believe that political differences must be addressed in a non-violent way through a legitimate process.']",claim,{269: 'support'}
299,UNSC_2014_SPV.7154_spch014_KR_neg,268,"United Nations States Members should respect that process, and there should not be any influence exerted by outside forces.","[271, 'there should not be any influence exerted by outside forces.']",claim,{267: 'support'}
300,UNSC_2014_SPV.7154_spch014_KR_neg,269,"We reiterate our strong support for the sovereignty, territorial integrity and independence of Ukraine.","[272, 'We reiterate our strong support for the sovereignty, territorial integrity and independence of Ukraine.']",claim,standalone
301,UNSC_2014_SPV.7154_spch017_CL_pos,270,We would like to thank Assistant Secretary-General Oscar Fernandez-Taranco for his briefing and welcome the convening of this meeting at this critical time for Ukraine and the region.,non-arg,non-arg,non-arg
302,UNSC_2014_SPV.7154_spch017_CL_pos,271,We face a sensitive development in the crisis in Ukraine.,non-arg,non-arg,non-arg
303,UNSC_2014_SPV.7154_spch017_CL_pos,272,"Chile regrets the outbreaks of violence seen in the eastern regions, specifically in Donetsk, Luhansk and Kharkiv, and expresses its deep concern over the serious consequences of the escalation of the crisis owing to the actions of separatist groups.","[273, 'Chile regrets the outbreaks of violence seen in the eastern regions, specifically in Donetsk, Luhansk and Kharkiv,']",claim,standalone
304,UNSC_2014_SPV.7154_spch017_CL_pos,272,"Chile regrets the outbreaks of violence seen in the eastern regions, specifically in Donetsk, Luhansk and Kharkiv, and expresses its deep concern over the serious consequences of the escalation of the crisis owing to the actions of separatist groups.","[274, 'expresses its deep concern over the serious consequences of the escalation of the crisis owing to the actions of separatist groups.']",claim,standalone
305,UNSC_2014_SPV.7154_spch017_CL_pos,273,It is critical that the parties exercise the maximum restraint in order to contain the crisis.,"[275, 'It is critical that the parties exercise the maximum restraint in order to contain the crisis.']",claim,standalone
306,UNSC_2014_SPV.7154_spch017_CL_pos,274,"Our country once again reiterates the need to respect the sovereignty, independence and territorial integrity of Ukraine.","[276, 'Our country once again reiterates the need to respect the sovereignty, independence and territorial integrity of Ukraine.']",claim,standalone
307,UNSC_2014_SPV.7154_spch017_CL_pos,275,We also reaffirm the obligation incumbent on Members of the United Nations to refrain from resorting to the threat of or use of force against the territorial integrity and political independence of any State.,non-arg,non-arg,non-arg
308,UNSC_2014_SPV.7154_spch017_CL_pos,276,It is urgent that all parties involved refrain from undertaking actions that are contrary to the provisions of the Charter of the United Nations and the international agreements and treaties to which Ukraine is a party.,"[277, 'It is urgent that all parties involved refrain from undertaking actions that are contrary to the provisions of the Charter of the United Nations and the international agreements and treaties to which Ukraine is a party.']",claim,standalone
309,UNSC_2014_SPV.7154_spch017_CL_pos,277,"We once again call on the parties to seek a peaceful solution to the crisis through direct political dialogue, to refrain from taking unilateral measures and to support international mediation initiatives, in accordance with General Assembly resolution 68/262.","[278, 'We once again call on the parties to seek a peaceful solution to the crisis through direct political dialogue, to refrain from taking unilateral measures and to support international mediation initiatives']",claim,{279: 'support'}
310,UNSC_2014_SPV.7154_spch017_CL_pos,277,"We once again call on the parties to seek a peaceful solution to the crisis through direct political dialogue, to refrain from taking unilateral measures and to support international mediation initiatives, in accordance with General Assembly resolution 68/262.","[279, 'in accordance with General Assembly resolution 68/262.']",premise,{}
311,UNSC_2014_SPV.7154_spch017_CL_pos,278,"That process must be inclusive and must ensure the rule of law, human rights, fundamental freedoms and full respect for the rights of minorities.","[280, 'That process must be inclusive']",claim,standalone
312,UNSC_2014_SPV.7154_spch017_CL_pos,278,"That process must be inclusive and must ensure the rule of law, human rights, fundamental freedoms and full respect for the rights of minorities.","[281, 'must ensure the rule of law, human rights, fundamental freedoms and full respect for the rights of minorities.']",claim,standalone
313,UNSC_2014_SPV.7154_spch017_CL_pos,279,"In that context, the role of the Security Council, the Secretary-General, his Special Envoy and regional organizations continues to be fundamental.","[282, 'the role of the Security Council, the Secretary-General, his Special Envoy and regional organizations continues to be fundamental.']",claim,standalone
314,UNSC_2014_SPV.7154_spch019_UA_neg,280,"I thank you, Madam President, for this opportunity to speak before the Security Council.",non-arg,non-arg,non-arg
315,UNSC_2014_SPV.7154_spch019_UA_neg,281,I thank Council members for understanding the critical situation in Ukraine and for their support.,non-arg,non-arg,non-arg
316,UNSC_2014_SPV.7154_spch019_UA_neg,282,"Before getting into the substance of my statement this evening, I would like start by mentioning that today Christians worldwide celebrate a great holiday, the day of the entry of our Lord into Jerusalem, Palm Sunday.","[283, 'today Christians worldwide celebrate a great holiday, the day of the entry of our Lord into Jerusalem, Palm Sunday.']",premise,{}
317,UNSC_2014_SPV.7154_spch019_UA_neg,283,"Unfortunately, today the celebration is falling under the shadow of aggression and bloodshed in Ukraine.","[284, 'today the celebration is falling under the shadow of aggression and bloodshed in Ukraine']",claim,{283: 'attack'}
318,UNSC_2014_SPV.7154_spch019_UA_neg,284,"On the eve of the holiday, terrorists coordinated by agents of the Russian Federation seized control of State buildings in several cities of the Donetsk region.","[285, 'On the eve of the holiday']",premise,{}
319,UNSC_2014_SPV.7154_spch019_UA_neg,284,"On the eve of the holiday, terrorists coordinated by agents of the Russian Federation seized control of State buildings in several cities of the Donetsk region.","[286, 'terrorists coordinated by agents of the Russian Federation seized control of State buildings in several cities of the Donetsk region.']",claim,"{290: 'support', 291: 'support', 292: 'support', 287: 'support', 285: 'attack', 288: 'support', 289: 'support'}"
320,UNSC_2014_SPV.7154_spch019_UA_neg,285,"Let me quote a statement made today by Ukraine's acting President Oleksandr Turchynov: ""A particularly dangerous situation has arisen in the city of Slavyansk, where professionally trained armed troops wearing Russian armed forces camouflage without insignia shattered the peace.","[287, ""Let me quote a statement made today by Ukraine's acting President Oleksandr Turchynov""]",premise,{}
321,UNSC_2014_SPV.7154_spch019_UA_neg,285,"Let me quote a statement made today by Ukraine's acting President Oleksandr Turchynov: ""A particularly dangerous situation has arisen in the city of Slavyansk, where professionally trained armed troops wearing Russian armed forces camouflage without insignia shattered the peace.","[288, '""A particularly dangerous situation has arisen in the city of Slavyansk, where professionally trained armed troops wearing Russian armed forces camouflage without insignia shattered the peace.']",premise,{}
322,UNSC_2014_SPV.7154_spch019_UA_neg,286,"This morning, a convoy of law enforcement officers who sought to protect the citizens of Slavyansk were attacked with assault rifles.","[289, 'This morning, a convoy of law enforcement officers who sought to protect the citizens of Slavyansk were attacked with assault rifles.']",premise,{}
323,UNSC_2014_SPV.7154_spch019_UA_neg,287,The criminals opened intense fire using local people as human shields.,"[290, 'The criminals opened intense fire using local people as human shields.']",premise,{}
324,UNSC_2014_SPV.7154_spch019_UA_neg,288,The blood of Ukrainians has been shed for one undivided sovereign Ukraine.,"[291, 'The blood of Ukrainians has been shed for one undivided sovereign Ukraine.']",premise,{}
325,UNSC_2014_SPV.7154_spch019_UA_neg,289,That blood has been shed in a war that Russia is waging against Ukraine.,"[292, 'That blood has been shed in a war that Russia is waging against Ukraine.']",premise,{}
326,UNSC_2014_SPV.7154_spch019_UA_neg,290,"The aggressor has not stopped, and continues to organize unrest in the eastern regions of our country.","[293, 'The aggressor has not stopped, and continues to organize unrest in the eastern regions of our country.']",premise,{}
327,UNSC_2014_SPV.7154_spch019_UA_neg,291,It is not a war between Ukrainians.,"[294, 'It is not a war between Ukrainians.']",premise,{}
328,UNSC_2014_SPV.7154_spch019_UA_neg,292,"The situation of confrontation was artificially created with the aim of weakening and destroying Ukraine itself."" Within a short period of time, approximately one and half months, the Ukrainian Government has done everything possible to avoid confrontation through an inclusive approach to each and every region.","[295, 'The situation of confrontation was artificially created with the aim of weakening and destroying Ukraine itself.""']",claim,"{294: 'support', 293: 'support'}"
329,UNSC_2014_SPV.7154_spch019_UA_neg,292,"The situation of confrontation was artificially created with the aim of weakening and destroying Ukraine itself."" Within a short period of time, approximately one and half months, the Ukrainian Government has done everything possible to avoid confrontation through an inclusive approach to each and every region.","[296, 'Within a short period of time, approximately one and half months,']",premise,{}
330,UNSC_2014_SPV.7154_spch019_UA_neg,292,"The situation of confrontation was artificially created with the aim of weakening and destroying Ukraine itself."" Within a short period of time, approximately one and half months, the Ukrainian Government has done everything possible to avoid confrontation through an inclusive approach to each and every region.","[297, 'the Ukrainian Government has done everything possible to avoid confrontation through an inclusive approach to each and every region.']",claim,"{298: 'support', 299: 'support', 296: 'support'}"
331,UNSC_2014_SPV.7154_spch019_UA_neg,293,"Recently, Mr. Yatsenyuk, the Prime Minister of Ukraine, visited the southern and eastern regions - Donetsk, Lugansk, Kharkiv, Dnepropetrovsk, Odessa * addressing such issues of concern as the language policy and prospects for decentralization of power and constitutional reforms.","[298, 'the Prime Minister of Ukraine, visited the southern and eastern regions - Donetsk, Lugansk, Kharkiv, Dnepropetrovsk, Odessa * addressing such issues of concern as the language policy and prospects for decentralization of power and constitutional reforms.']",premise,{}
332,UNSC_2014_SPV.7154_spch019_UA_neg,294,The Government is ready to consider the significant empowerment of local authorities in Ukraine.,"[299, 'The Government is ready to consider the significant empowerment of local authorities in Ukraine.']",premise,{}
333,UNSC_2014_SPV.7154_spch019_UA_neg,295,"Unfortunately, the efforts of the Government of Ukraine have been severely challenged by recent developments in the eastern regions.","[300, 'the efforts of the Government of Ukraine have been severely challenged by recent developments in the eastern regions.']",claim,{301: 'support'}
334,UNSC_2014_SPV.7154_spch019_UA_neg,296,"According to Ukrainian intelligence data, during the past month and a half in the eastern regions of Ukraine, agents of the Russian special services embarked on large-scale operations to seize power and destabilize the situation, threatening the lives of citizens of Ukraine, for the purpose of separating those regions from our country.","[301, 'According to Ukrainian intelligence data, during the past month and a half in the eastern regions of Ukraine, agents of the Russian special services embarked on large-scale operations to seize power and destabilize the situation, threatening the lives of citizens of Ukraine, for the purpose of separating those regions from our country.']",premise,{}
335,UNSC_2014_SPV.7154_spch019_UA_neg,297,"During the past month, our Mission has regularly informed the Security Council and all States Members of the United Nations on the latest developments in Russian actions in Crimea and other regions of Ukraine.","[302, 'During the past month, our Mission has regularly informed the Security Council and all States Members of the United Nations on the latest developments in Russian actions in Crimea and other regions of Ukraine']",premise,{}
336,UNSC_2014_SPV.7154_spch019_UA_neg,298,Russia has not only been constantly increasing the number of its troops deployed along the Ukrainian border but it has also been sending subversive groups into Ukrainian regions in order to destabilize the situation.,"[303, 'Russia has not only been constantly increasing the number of its troops deployed along the Ukrainian border but it has also been sending subversive groups into Ukrainian regions in order to destabilize the situation.']",claim,"{302: 'support', 304: 'support', 305: 'support'}"
337,UNSC_2014_SPV.7154_spch019_UA_neg,299,"Such specially designated groups, made up of 10 to 20 members of the special forces, primarily from the main intelligence directorate or general staff of the armed forces of the Russian Federation, infiltrated Ukrainian territory with the task of forming and organizing military combat units.","[304, 'Such specially designated groups, made up of 10 to 20 members of the special forces, primarily from the main intelligence directorate or general staff of the armed forces of the Russian Federation, infiltrated Ukrainian territory with the task of forming and organizing military combat units.']",premise,{}
338,UNSC_2014_SPV.7154_spch019_UA_neg,300,"Ukraine has strong evidence of the involvement of the Russian special service forces, as was mentioned in a statement the Minister for Foreign Affairs of Ukraine made public early today.","[305, 'Ukraine has strong evidence of the involvement of the Russian special service forces, as was mentioned in a statement the Minister for Foreign Affairs of Ukraine made public early today.']",premise,{}
339,UNSC_2014_SPV.7154_spch019_UA_neg,301,"The detention of Russian citizen members of subversive groups coordinated by the Russian federal security services and military intelligence is carried out on a daily basis by the security services of Ukraine, yielding the following facts, which are just a few out of dozens.","[306, 'The detention of Russian citizen members of subversive groups coordinated by the Russian federal security services and military intelligence is carried out on a daily basis by the security services of Ukraine']",claim,"{308: 'support', 311: 'support', 309: 'support', 310: 'support', 307: 'support', 315: 'support', 313: 'support', 316: 'support', 312: 'support', 314: 'support'}"
340,UNSC_2014_SPV.7154_spch019_UA_neg,302,"On 8 April, Russian citizen Maria Koleda, who fulfilled intelligence service tasks to destabilize in eastern Ukraine, was detained in Herson.","[307, 'On 8 April, Russian citizen Maria Koleda, who fulfilled intelligence service tasks to destabilize in eastern Ukraine, was detained in Herson.']",premise,{}
341,UNSC_2014_SPV.7154_spch019_UA_neg,303,The Russian saboteur who was about to seize such strategic facilities as the Kakhovka hydroelectric power plant was detained in the region of Herson.,"[308, 'The Russian saboteur who was about to seize such strategic facilities as the Kakhovka hydroelectric power plant was detained in the region of Herson']",premise,{}
342,UNSC_2014_SPV.7154_spch019_UA_neg,304,"On 10 March, a representative of the Russian Federation military intelligence service was detained in Donetsk.","[309, 'On 10 March, a representative of the Russian Federation military intelligence service was detained in Donetsk.']",premise,{}
343,UNSC_2014_SPV.7154_spch019_UA_neg,305,"On 12 March, the intelligence group of the Russian armed forces that infiltrated the Herson territory from Crimea was detained at the control point.","[310, 'On 12 March, the intelligence group of the Russian armed forces that infiltrated the Herson territory from Crimea was detained at the control point.']",premise,{}
344,UNSC_2014_SPV.7154_spch019_UA_neg,306,"On 20 March, a Russian citizen named Markhov, an officer of the main intelligence directorate of the general staff of Russian Federation armed forces, was detained in Chernigiv.","[311, 'On 20 March, a Russian citizen named Markhov, an officer of the main intelligence directorate of the general staff of Russian Federation armed forces, was detained in Chernigiv.']",premise,{}
345,UNSC_2014_SPV.7154_spch019_UA_neg,307,"On the same day, a Russian citizen named Oleg Bakhtiar, one of the leaders of the Eurasian Youth Union of Russia, was detained in Kyiv as he was preparing a group of people under the guise of civil activities for the criminal seizure of the Verkhovna Rada and the Cabinet of Ministers.","[312, 'On the same day, a Russian citizen named Oleg Bakhtiar, one of the leaders of the Eurasian Youth Union of Russia, was detained in Kyiv as he was preparing a group of people under the guise of civil activities for the criminal seizure of the Verkhovna Rada and the Cabinet of Ministers.']",premise,{}
346,UNSC_2014_SPV.7154_spch019_UA_neg,308,All of the arrestees confirmed being part of a network of persons conducting Russian subversive activities in Ukraine.,"[313, 'All of the arrestees confirmed being part of a network of persons conducting Russian subversive activities in Ukraine.']",premise,{}
