id,ids of components,two_components,relation type
857,"[1295, 1292]","['having taken that first step, the people who made those attempts have nonetheless been unable to stop and have gone on with them.', 'we can find affirmations of his words of wisdom in the history of the still young twenty-first century.']",support
858,"[1293, 1292]","[""the twenty-first century has presented humankind and international relations with the gift of practices such as enforced regime change, done in an attempt to impose someone's geopolitical vision on other countries of the world."", 'we can find affirmations of his words of wisdom in the history of the still young twenty-first century.']",support
859,"[1294, 1292]","['It is very clear that every such attempt launched early in the twenty-first century has resulted in terrible destabilization.', 'we can find affirmations of his words of wisdom in the history of the still young twenty-first century.']",support
860,"[1295, 1296]","['having taken that first step, the people who made those attempts have nonetheless been unable to stop and have gone on with them.', 'This time that has led to serious destabilization in Ukraine.']",support
861,"[1294, 1296]","['It is very clear that every such attempt launched early in the twenty-first century has resulted in terrible destabilization.', 'This time that has led to serious destabilization in Ukraine.']",support
862,"[1293, 1296]","[""the twenty-first century has presented humankind and international relations with the gift of practices such as enforced regime change, done in an attempt to impose someone's geopolitical vision on other countries of the world."", 'This time that has led to serious destabilization in Ukraine.']",support
863,"[1299, 1298]","['There were no calls to President Yanukovych to use every possible means at his disposal as lawful President, including that of force, in order to impose order in the country.', 'our Western colleagues never once called for a halt to the violence perpetrated in Kyiv and other regions of Ukraine against the lawful authorities.']",support
864,"[1297, 1298]","['during the several months of crises preceding the overthrow of the lawful administration between 21 and 25 February', 'our Western colleagues never once called for a halt to the violence perpetrated in Kyiv and other regions of Ukraine against the lawful authorities.']",attack
865,"[1299, 1300]","['There were no calls to President Yanukovych to use every possible means at his disposal as lawful President, including that of force, in order to impose order in the country.', 'But now, for some reason, those calls are coming loud and clear.']",attack
866,"[1302, 1301]","['We proposed tripartite talks among Ukraine, the European Union and Russia at the start ofthe crisis on the political confrontation that focused on whether Ukraine should sign an association agreement with the European Union.', 'Russia has wanted only one thing, which is to avoid destabilization in Ukraine and settle everything through negotiations.']",support
867,"[1302, 1303]","['We proposed tripartite talks among Ukraine, the European Union and Russia at the start ofthe crisis on the political confrontation that focused on whether Ukraine should sign an association agreement with the European Union.', 'the European Union, with the support of the United States, rejected our proposal.']",attack
868,"[1305, 1306]","['We still believe that many of the 25 February positions are right', 'they must be kept to if we hope to bring Ukraine out of political crisis.']",support
869,"[1307, 1309]","['We helped to conclude the 17 April Geneva agreement.', 'it points to a way out of the crisis in the country.']",support
870,"[1308, 1309]","['It is a simple agreement', 'it points to a way out of the crisis in the country.']",attack
871,"[1311, 1313]","['But the most striking and infuriating thing is that the demands of the people of eastern Ukraine are basically fairly simple.', 'They demanded federalization.']",support
872,"[1312, 1313]","[""Finding themselves in a situation in which the nation's capital was occupied by an illegitimate authority, to a large degree consisting of hostile nationalist radical elements, the people asked that their rights be guaranteed."", 'They demanded federalization.']",support
873,"[1315, 1316]","['They were all waiting for some constructive reaction from Kyiv to their demands for protecting their own interests.', 'Not once did any kind of reasonable reaction or serious initiative emanate from Kyiv.']",attack
874,"[1314, 1316]","['It was noticeable that for a long period - almost two months after the overthrow of the lawful Government - no one there took up arms for at least a couple of months.', 'Not once did any kind of reasonable reaction or serious initiative emanate from Kyiv.']",attack
875,"[1318, 1319]","['A poll.', ""The people have been fighting on the barricades for weeks, and they think they have to conduct a poll in order to figure out people's opinion about what they want.""]",attack
876,"[1317, 1319]","['that there will be some kind of poll on decentralization of the country', ""The people have been fighting on the barricades for weeks, and they think they have to conduct a poll in order to figure out people's opinion about what they want.""]",attack
877,"[1321, 1322]","['They gave the impression that they know what the Kyiv authorities are thinking, what their plans are.', 'Maybe they had a part in drawing up those plans, and that was why they talked about what was going on so calmly.']",support
878,"[1320, 1322]","['What bothered me more than anything today was how calmly and approvingly our Western colleagues spoke about the search operations that the Kyiv authorities are now carrying out in eastern Ukraine.', 'Maybe they had a part in drawing up those plans, and that was why they talked about what was going on so calmly.']",support
879,"[1323, 1324]","['every visit to Kyiv by senior American officials has resulted in events reaching new levels of confrontation, and a more violent turn of events.', 'it is not surprising that the United States, as I said in my statement, did not want the Organization for Security and Cooperation in Europe (OSCE) to do as it was supposed to under the Vienna Document, that is, to bring about dialogue and organize a round table with representative of different regions and the Kyiv Government.']",support
880,"[1325, 1326]","['Throughout the crisis, Russia several times has suggested different formats for the organization of such dialogue between the Government and opposition forces and regions.', 'The Government did not want to or could not do it themselves.']",attack
881,"[1327, 1328]","['We suggested a constitutional assembly be convened.', 'They said they were not ready to do so.']",attack
882,"[1329, 1330]","['When the meeting of 17 April was organized, we suggested that representatives of the regions should be included, and that the four parties - the European Union, the United States and Russia and the acting Minister for Foreign Affairs of Ukraine - could start those talks.', 'But that proposal was rejected.']",attack
883,"[1331, 1332]","['The OSCE was then given the mandate, which it tried to carry out only then to be told it should not.', 'Instead, tanks were brought out to Sloviansk and other cities in the east of the country.']",attack
884,"[1333, 1334]","['Regarding what one colleague said, that Russia is refusing to implement the 17 April Geneva statement', 'I would repeat that Russia would never refuse to implement any useful document agreed upon during the crisis, including the 21 February agreement.']",attack
885,"[1335, 1334]","['Actually listening to my statement today, one would notice that the political components were quotations from the 17 April document.', 'I would repeat that Russia would never refuse to implement any useful document agreed upon during the crisis, including the 21 February agreement.']",support
886,"[1336, 1337]","['If we are truly intent on finding a political solution to the crisis in spite of the dramatic events of recent days,', 'we might ask the President, the Permanent Representative of Korea, to make a statement following this meeting, stating that the Security Council, in keeping with the 17 April Geneva statement, calls for a swift halt to the violence, including, of course, the use of force in eastern Ukraine, and appeals for the swift and comprehensive implementation of the Geneva statement.']",support
887,"[1341, 1340]","['many Council members, including me, have already gone through the facts that have brought us to this point.', 'We have to be clear about cause and effect here']",support
888,"[1339, 1340]","['First, for the Russians to blame Ukraine for Ukraine\'s actions in defence of its own people on its own territory really is starting to remind me of the story of the schoolboy who returned home with his nose bloody and his shirt torn and, asked by his mother how the fight started, he said ""it started when the other boy hit me back"".', 'We have to be clear about cause and effect here']",support
889,"[1343, 1342]","['the United States and other countries never called oon protesters in the Maidan to leave buildings or avoid violence.', 'My second point is to debunk yet another of the lies that have been told in this Chamber, because it relates to my country, the United States.']",support
890,"[1349, 1344]","['On 24 January, when protesters occupied some regional administration buildings, we reiterated our call for all protesters and Government forces to refrain from violence and the destruction of property.', 'we are holding Russian separatists to a different standard.']",support
891,"[1346, 1344]","['On 15 January, we condemned the actions of rioters outside a Kyiv court building on 10 January.', 'we are holding Russian separatists to a different standard.']",support
892,"[1347, 1344]","['On 22 January, the aggressive actions of members of the extreme-right group Pravy Sektor were unacceptable, enflaming conditions on the streets and undermining the efforts of peaceful protesters.', 'we are holding Russian separatists to a different standard.']",support
893,"[1348, 1344]","['We condemned the targeted attacks against journalists and unofficial groups such as Titushky.', 'we are holding Russian separatists to a different standard.']",support
894,"[1350, 1344]","['On 27 January, we made clear that we condemned the use of violence to seize Government buildings, such as the takeover of a Ministry of Justice building that took place over the past cople of days and of a public exhibition hall that weekend', 'we are holding Russian separatists to a different standard.']",support
895,"[1345, 1344]","['That is a claim that has been made in almost every meeting we have had.', 'we are holding Russian separatists to a different standard.']",support
896,"[1351, 1344]","['continued to reiterate our call for all protesters and Government forces to refrain from violence and the destruction of property.', 'we are holding Russian separatists to a different standard.']",support
897,"[1352, 1353]","['if we could just take that particular lie of the table', 'it would be helpful and a little more constructive.']",support
898,"[1355, 1354]","['What I would ask my Russian colleague is whether Russia will make public statements and work privately behind the scenes to urge Russian separatists to negotiate peacefully their departure from public buildings.', 'What is more important now is where we go from here.']",support
899,"[1356, 1354]","['Where does Russia assess that Russian separatists who claim loyalty to the Russian Government and who wear uniforms just like those of Russian soldiers obtained weapons and training capable of shooting down Ukrainian helicopters?', 'What is more important now is where we go from here.']",support
900,"[1358, 1359]","['We have a golden opportunity on 25 May for the people of eastern Ukraine to have their voices heard, for them to choose their own leaders and for us to get to a universally legitimate Government that is respected and chosen by all of the people of Ukraine', 'Yet Russia will not come out in support of the elections and work with us to ensure that they take place']",attack
901,"[1360, 1359]","['which would be the best way of ensuring rights, representativeness and greater autonomy for the people of eastern Ukraine.', 'Yet Russia will not come out in support of the elections and work with us to ensure that they take place']",attack
902,"[1361, 1362]","['What we have heard from Washington, DC, and the way it was heard clearly demonstrated to all - including to those in Kyiv, which is most important', 'the United States looked favourably on the forceful change of power, which did not ultimately serve the interests of the Ukrainian people.']",support
903,"[1364, 1365]","['Malaysia Airlines passenger flight MH-l7 appears to have been shot down over eastern Ukraine, killing all passengers and crew.', 'The senseless violence unleashed by armed separatists in eastern Ukraine has reached monstrous proportions.']",support
904,"[1364, 1366]","['Malaysia Airlines passenger flight MH-l7 appears to have been shot down over eastern Ukraine, killing all passengers and crew.', 'The precise circumstances and causes of this tragic event must be established quickly and beyond any doubt.']",support
905,"[1368, 1369]","['The International Civil Aviation Organization, which provides the international legal framework for the investigation of air accidents', 'should have a central role to play in ensuring that there is credible and independent international involvement.']",support
906,"[1370, 1371]","['We welcome the indications from the Ukrainian authorities that they want international investigators to join their efforts.', 'The United Kingdom will provide whatever assistance is necessary to support that investigation.']",support
907,"[1375, 1373]","['Armed separatist groups in the vicinity must allow such access.', 'They must be able to operate unhindered and in security.']",support
908,"[1374, 1373]","['There must be no interference or tampering with the evidence.', 'They must be able to operate unhindered and in security.']",support
909,"[1376, 1377]","['Despite assurances made yesterday evening, we understand that has not yet happened.', 'We call on Russia to use its influence with those groups to ensure that it happens.']",support
910,"[1379, 1378]","['On 14 June, armed separatists claimed responsibility for - indeed, gloated publicly over 4 the shooting down of a Ukrainian I1-76 transport aircraft, with a loss of all 49 aboard', 'The MH-17 is not the first aircraft to be brought down in the area.']",support
911,"[1380, 1378]","['On 14 July, armed separatists shot down an An-26 transport aircraft with a surface-to-air missile.', 'The MH-17 is not the first aircraft to be brought down in the area.']",support
912,"[1383, 1378]","['Russian officials have claimed that armed separatists in eastern Ukraine represent a spontaneous local insurgency.', 'The MH-17 is not the first aircraft to be brought down in the area.']",support
913,"[1380, 1382]","['On 14 July, armed separatists shot down an An-26 transport aircraft with a surface-to-air missile.', 'We have to ask searching questions about why we are now confronting this tragic situation.']",support
914,"[1381, 1382]","['And, on 16 July, a Ukrainian Su-25 jet was shot down in circumstances that have yet to be fully clarified.', 'We have to ask searching questions about why we are now confronting this tragic situation.']",support
915,"[1379, 1382]","['On 14 June, armed separatists claimed responsibility for - indeed, gloated publicly over 4 the shooting down of a Ukrainian I1-76 transport aircraft, with a loss of all 49 aboard', 'We have to ask searching questions about why we are now confronting this tragic situation.']",support
916,"[1385, 1384]","[""We know that the three leading figures of the so-called Donetsk People's Republic are Russian citizens who have come from outside Ukraine."", 'We know that is not the case.']",support
917,"[1386, 1384]","['We know that weapons, equipment and logistical support have been systematically provided to armed separatist groups by Russia, including up to 100 man-portable air defence systems and 15 to 25 main battle tanks, not to mention artillery pieces, rocket launchers and other armoured vehicles.', 'We know that is not the case.']",support
918,"[1383, 1384]","['Russian officials have claimed that armed separatists in eastern Ukraine represent a spontaneous local insurgency.', 'We know that is not the case.']",attack
919,"[1386, 1387]","['We know that weapons, equipment and logistical support have been systematically provided to armed separatist groups by Russia, including up to 100 man-portable air defence systems and 15 to 25 main battle tanks, not to mention artillery pieces, rocket launchers and other armoured vehicles.', 'The United Kingdom urges Russia to reflect carefully on the situation it has created.']",support
920,"[1385, 1387]","[""We know that the three leading figures of the so-called Donetsk People's Republic are Russian citizens who have come from outside Ukraine."", 'The United Kingdom urges Russia to reflect carefully on the situation it has created.']",support
921,"[1385, 1388]","[""We know that the three leading figures of the so-called Donetsk People's Republic are Russian citizens who have come from outside Ukraine."", 'We urge Russia to cease its policy of supporting armed separatist groups and their violent actions of destabilizing a neighbouring country and of generating displacement and social and economic hardship.']",support
922,"[1386, 1388]","['We know that weapons, equipment and logistical support have been systematically provided to armed separatist groups by Russia, including up to 100 man-portable air defence systems and 15 to 25 main battle tanks, not to mention artillery pieces, rocket launchers and other armoured vehicles.', 'We urge Russia to cease its policy of supporting armed separatist groups and their violent actions of destabilizing a neighbouring country and of generating displacement and social and economic hardship.']",support
923,"[1390, 1389]","['without Russian support, they would wither.', 'These armed groups do not represent the people of Ukraine']",support
924,"[1392, 1393]","['It is clear where responsibility lies: with the senseless violence of armed separatists and with those who have supported, equipped and advised them.', 'The Council must be united in condemning these actions and in demanding that these groups disarm, desist from violence and intimidation and engage in dialogue through the democratic mechanisms that are available to them.']",support
925,"[1394, 1395]","['the members of the Security Council expressed their condolences and called for an international investigation and appropriate accountability.', 'That is welcome, but it is not enough.']",attack
926,"[1394, 1396]","['the members of the Security Council expressed their condolences and called for an international investigation and appropriate accountability.', 'The Council must go further.']",attack
927,"[1398, 1399]","[""In the light of yesterday's tragedy"", 'any other course of action would be unconscionable.']",support
928,"[1402, 1404]","['As we now know, that letter stands for ""infant"".', 'We can only commit to them that we will not rest until we find out what happened.']",support
929,"[1401, 1404]","['As we stared at the passanger list yesterday, we saw next to three of the passangers\' names a capital ""I"".', 'We can only commit to them that we will not rest until we find out what happened.']",support
930,"[1403, 1404]","['To the families and friends of the victims, it is impossible to find words to express our condolences.', 'We can only commit to them that we will not rest until we find out what happened.']",support
931,"[1400, 1404]","['All 298 people aboard - 283 passangers and 15 crew members - were killed.', 'We can only commit to them that we will not rest until we find out what happened.']",support
932,"[1409, 1408]","['The airliner was travelling at a cruise altitude of 33,000 feet, and its speed was typical for an airliner along an established flight corridor frequented by commercial traffic.', 'We assess that Malaysia Airlines Flight 17, carrying 298 people from Amsterdan to Kuala Lumpur, was likely downed by a surface-to-air missile (SAM) - an SA-11 - operated from a separatist-held location in eastern Ukraine.']",support
933,"[1410, 1408]","['The flight was transmiting its assigned transponder code, corresponding with its flight plan, and flight tracking data was publicly available on the Internet.', 'We assess that Malaysia Airlines Flight 17, carrying 298 people from Amsterdan to Kuala Lumpur, was likely downed by a surface-to-air missile (SAM) - an SA-11 - operated from a separatist-held location in eastern Ukraine.']",support
934,"[1410, 1411]","['The flight was transmiting its assigned transponder code, corresponding with its flight plan, and flight tracking data was publicly available on the Internet.', 'There was nothing threatening or provocative about MH-17.']",support
935,"[1412, 1413]","[""Of the operational SAM. systems located near the border, only the SA-Il, SA-20 and SA-22 systems are capable of hitting an aircraft at the flight's altitude of 33,000 feet."", 'We can rule out shorter-range SAMSs known to be in separatist hands, including man-portable air defence systems, and SA-8 and SA-13 systems, which are not capable of hitting an aircraft at that altitude.']",support
936,"[1417, 1418]","['Because of the technical complexity of the SA-11', 'it is unlikely that the separatists could effectively operate the system without assistance from knowledgeable personnel.']",support
937,"[1415, 1419]","['Separatists initially claimed responsibility for shooting down a military transport plane, and posted videos that are now being connected to the Malaysia Airlines crash.', 'Therefore, we cannot rule out technical assistance from Russian personnel in operating the systems.']",support
938,"[1420, 1419]","['The Ukrainians do have SA-ll systems in their inventory; however, we are not aware of any Ukrainian SAM. systems in the area of the shoot-down.', 'Therefore, we cannot rule out technical assistance from Russian personnel in operating the systems.']",support
939,"[1416, 1419]","['Separatist leaders also boasted on social media about shooting down a plane, but later deleted those messages.', 'Therefore, we cannot rule out technical assistance from Russian personnel in operating the systems.']",support
940,"[1414, 1419]","['Early Thursday, an SA-ll SAM. system was reported near Zahnitkiv by a western reporter, and separatists were spotted hours before the incident with an SA-Il system at a location close to the site where the plane went down.', 'Therefore, we cannot rule out technical assistance from Russian personnel in operating the systems.']",support
941,"[1421, 1419]","['More important, since the beginning of the crisis Ukrainian air defences have not fired a single missile, despite several alleged violations of their airspace by Russian aircraft.', 'Therefore, we cannot rule out technical assistance from Russian personnel in operating the systems.']",support
942,"[1423, 1422]","['On 13 June, separatists shot down a Ukrainian transport plane carrying 40 paratroopers and 9 crew members.', 'This also follows a pattern of actions by Russian-backed separatists.']",support
943,"[1424, 1422]","[""On 24 June, as the Council was meeting to welcome Ukraine's unilateral ceasefire (see S/PV.7205), we received word that separatists had downed a Ukrainian helicopter, killing all nine aboard."", 'This also follows a pattern of actions by Russian-backed separatists.']",support
944,"[1425, 1422]","['On 14 July, separatists claimed credit for downing a Ukrainian military cargo plane flying at 6,000 metres.', 'This also follows a pattern of actions by Russian-backed separatists.']",support
945,"[1426, 1422]","['And on 16 July they claimed credit for the downing of a Ukrainian fighter jet.', 'This also follows a pattern of actions by Russian-backed separatists.']",support
946,"[1427, 1428]","['If indeed Russian-backed separatists were behind this attack on a civilian airliner, they and their backers would have good reason to cover up evidence of their crime.', 'It is therefore extremely important that an investigation be commenced immediately.']",support
947,"[1432, 1431]","['we look to the monitoring misson also to reach agreement with separatists and others in the region to make that possible.', 'All those concerned - Russia, pro-Russian separatists and Ukraine - should agree to support an immediate ceasefire to facilitate access by international investigators.']",support
948,"[1435, 1436]","['most Council members and most members of the international community have been warning for months about the devastation that would come if Russia did not stop what it started - if it did not reign in what it unleashed', ""separatist forces backed by the Russian Government continue to destabilize Ukraine and undermine the efforts of Ukraine's elected leaders to build a democratic Ukraine that is stable, unified, secure and able to determine its own future.""]",support
949,"[1437, 1436]","[""Russia says that it seeks peace in Ukraine, but we have repeatedly provided the Council with evidence of Russia's continued support to the separatists."", ""separatist forces backed by the Russian Government continue to destabilize Ukraine and undermine the efforts of Ukraine's elected leaders to build a democratic Ukraine that is stable, unified, secure and able to determine its own future.""]",support
950,"[1444, 1439]","['Ukrainian forces have discovered large amounts of other Russian-provided military equipment, including accompanying documentation verifying Russian origin, in the areas they have liberated from separatists in recent days.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
951,"[1447, 1439]","['Ukrainian pilot Nadia Savchenko, who has long had a distinguished career in the Ukrainian military, was taken by separatists in mid-June.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
952,"[1448, 1439]","['She is now being held - where?', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
953,"[1446, 1439]","[""Russia has allowed officials from the Donetsk People's Republic to establish a recruiting office in Moscow."", 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
954,"[1449, 1439]","['- in a prison in Voronezh, Russia.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
955,"[1450, 1439]","['According to the Ukrainian Government, she was transferred to Russia by separatists.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
956,"[1453, 1439]","['In both instances, the Ukrainian Government believes that the planes were fired on from Russian territory.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
957,"[1445, 1439]","['Recruiting efforts for separatist fighters are expanding inside Russia, and separatists have openly said that they were looking for volunteers with experience in operating heavy weapons such as tanks and air defences.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
958,"[1452, 1439]","['on Monday, a Ukrainian air force cargo plane was shot down in Ukrainian air space, and on Wednesday a Ukrainian fighter jet was also shot down in Ukrainian air space.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
959,"[1440, 1439]","['In the past few weeks, Russia has increased the number of tanks, armoured vehicles and rocket launchers in south-west Russia.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
960,"[1441, 1439]","['More advanced air defence systems have also arrived.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
961,"[1442, 1439]","['Moscow recently transferred Soviet- era tanks and artillery to the separatists, and several military vehicles crossed the border.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
962,"[1443, 1439]","['After recapturing several Ukrainian cities last weekend, Ukrainian officials discovered caches of weapons long associated with Russian stockpiles, including MANPADs, mines, grenades, meals ready to eat, vehicles and a pontoon bridge.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
963,"[1438, 1439]","['we have called on the Russian Government to de-escalate the situation by stopping the flow of fighters and weapons into Ukraine, pressing separatists to agree to a ceasefire and release all hostages, and support a road map for negotiations.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
964,"[1451, 1439]","['Russia continues to redeploy new forces extremely close to the Ukrainian border.', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",support
965,"[1454, 1455]","['It is because of such continued destabilizing Russian actions', 'the United States imposed sanctions on the defence, energy and financial sectors of the Russian economy, including financial institutions.']",support
966,"[1456, 1457]","[""The measures include freezing the assets ofRussian defence companies and blocking new financing of some of Russia's most important banks and energy companies."", 'The sanctions are significant']",support
967,"[1458, 1457]","['but they are also targeted and designed to have the maximum impact on the Russian calculus while limiting the impact on the Russian people and any spillover effects on our interests or those of our allies.', 'The sanctions are significant']",attack
968,"[1461, 1460]","['But that is not what any of us want.', 'if President Putin continues to choose escalation over de-escalation, the international community will continue to impose costs on Russia.']",attack
969,"[1459, 1460]","['the European Union also announced expanded sanctions on Russia.', 'if President Putin continues to choose escalation over de-escalation, the international community will continue to impose costs on Russia.']",support
970,"[1463, 1462]","['as are the Ukrainian Government and the Ukrainian people, who have seen their neighbours, friends and family members killed in a needless conflict.', 'We and our allies remain committed to a diplomatic solution']",support
971,"[1470, 1464]","['He has said that he will meet with separatists in any safe location, inside or outside Ukraine.', 'President Poroshenko has consistently backed up his words with actions.']",support
972,"[1469, 1464]","['President Poroshenko has also reached out to the regions of eastern Ukraine and is pursuing constitutional reforms that will give local regions more authority to choose their regional leaders and protect locally spoken languages.', 'President Poroshenko has consistently backed up his words with actions.']",support
973,"[1468, 1464]","['He established a job-creation programme for the affected areas, made an offer of broad decentralization and dialogue with eastern regions, including the promise of early local elections, and granted increased local control over language, holidays and customs.', 'President Poroshenko has consistently backed up his words with actions.']",support
974,"[1465, 1464]","['He proposed a comprehensive peace plan and declared a unilateral ceasefire, both of which were cynically rejected by the illegal armed groups and their backers in Moscow.', 'President Poroshenko has consistently backed up his words with actions.']",support
975,"[1466, 1464]","[""President Poroshenko's plan offered amnesty to separatists who voluntarily laid down their arms and who are not guilty of capital crimes."", 'President Poroshenko has consistently backed up his words with actions.']",support
976,"[1467, 1464]","['He committed to providing a safe corridor for Russian fighters to return to Russia.', 'President Poroshenko has consistently backed up his words with actions.']",support
977,"[1471, 1472]","['The goal of the United States throughout the crisis in Ukraine has been consistent, namely, to support a stable, peaceful and democratic Ukraine.', 'We will not be satisfied with a temporary halt to violence.']",support
978,"[1471, 1473]","['The goal of the United States throughout the crisis in Ukraine has been consistent, namely, to support a stable, peaceful and democratic Ukraine.', ""Russia must stop destabilizing Ukraine and allow all the people of Ukraine to decide their country's future through a democratic political process""]",support
979,"[1475, 1476]","['The victims came from at least nine different nations; they could just as easily have come from any of ours.', 'We must treat all of them as our own victims.']",support
980,"[1474, 1476]","['As we sit here, the remains of nearly 300 people - innocent infants, children, women and men - are strewn across a blackened, smouldering landscape in Ukraine.', 'We must treat all of them as our own victims.']",support
981,"[1474, 1477]","['As we sit here, the remains of nearly 300 people - innocent infants, children, women and men - are strewn across a blackened, smouldering landscape in Ukraine.', 'We have a duty to each and every one of those individuals, their families and their countries to determine why that jet fell out of the sky and to hold the perpetrators accountable.']",support
982,"[1475, 1477]","['The victims came from at least nine different nations; they could just as easily have come from any of ours.', 'We have a duty to each and every one of those individuals, their families and their countries to determine why that jet fell out of the sky and to hold the perpetrators accountable.']",support
983,"[1475, 1478]","['The victims came from at least nine different nations; they could just as easily have come from any of ours.', 'We must stop at nothing to bring those responsible to justice.']",support
984,"[1474, 1478]","['As we sit here, the remains of nearly 300 people - innocent infants, children, women and men - are strewn across a blackened, smouldering landscape in Ukraine.', 'We must stop at nothing to bring those responsible to justice.']",support
985,"[1482, 1483]","['Russia can end this war.', 'Russia must end this war.']",support
986,"[1481, 1483]","['This war can be ended.', 'Russia must end this war.']",support
987,"[1485, 1484]","['The perpetrators cannot escape responsibility.', 'The circumstances ofthe downing mustbe established by an independent, international investigaton, in accordance with international civil aviation guidelines.']",support
988,"[1490, 1488]","['It would not have happened had Russia not armed and instigated the presence of separatist groups in Donetsk and Luhansk provinces.', 'this horrible crime was committed as part of the armed aggression against Ukraine.']",support
989,"[1489, 1488]","['The responsibility for that terror act lies with those who are aggressively preventing Ukraine from effectively exercising its sovereign rights over its territory and airspace.', 'this horrible crime was committed as part of the armed aggression against Ukraine.']",support
990,"[1490, 1491]","['It would not have happened had Russia not armed and instigated the presence of separatist groups in Donetsk and Luhansk provinces.', 'The international community cannot stand by in the face of such aggression.']",support
991,"[1489, 1491]","['The responsibility for that terror act lies with those who are aggressively preventing Ukraine from effectively exercising its sovereign rights over its territory and airspace.', 'The international community cannot stand by in the face of such aggression.']",support
992,"[1490, 1492]","['It would not have happened had Russia not armed and instigated the presence of separatist groups in Donetsk and Luhansk provinces.', 'The country has become a threat to international peace and security']",support
993,"[1489, 1492]","['The responsibility for that terror act lies with those who are aggressively preventing Ukraine from effectively exercising its sovereign rights over its territory and airspace.', 'The country has become a threat to international peace and security']",support
994,"[1494, 1502]","['The debris of the Malaysian plane lies in an area controlled by pro-Russian separatists.', 'Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.']",support
995,"[1497, 1502]","['An Il-76 transport plane and half a dozen helicopters were brought down by pro-Russian separatists at Luhansk airport and elsewhere.', 'Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.']",support
996,"[1496, 1502]","['The third - a Malaysian passenger plane - was deliberately shot down.', 'Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.']",support
997,"[1495, 1502]","['This week alone, a Ukrainian AN-26 cargo plane and an Su-25 fighter jet were shot down by pro-Russian separatists from a high altitude.', 'Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.']",support
998,"[1493, 1502]","['We have said that all along since the occupation of Crimea.', 'Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.']",support
999,"[1500, 1502]","['Separatist commander Igor Strelkov claimed to the media to have shot down another aircraft at the same time as the Malaysian Airlines flight was overflying the area.', 'Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.']",support
1000,"[1499, 1502]","['They claimed to have used the system to shoot down the An-26 cargo plane at high altitude.', 'Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.']",support
1001,"[1498, 1502]","['In June, separatists boasted of possessing an SA-11 Buk missile system.', 'Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.']",support
1002,"[1501, 1502]","['We are truly shocked by the number of victims among the civilian population in eastern Ukraine.', 'Armed separatists, terrorists and foreign fighters and their supporters bear the responsibility for the deaths and injuries among the civilian population, including children, women and the elderly.']",support
