Component,Label
"Since then, the Government of Ukraine has been implementing its commitments in good faith.",claim
"Regrettably, the same cannot be said of the Russian Federation.",claim
"As we meet, observers from the special monitoring mission of the Organization for Security and Cooperation in Europe (OSCE) are reporting that most of Ukraine, including eastern Ukraine, is peaceful.",premise
"The exceptions are in such areas as Donetsk, Luhansk and Sloviansk, where pro-Russian separatists continue to occupy buildings and attack local officials.",premise
There we have seen a sharp deterioration in law and order.,claim
"Just today, pro-Russian separatists armed with baseball bats, stormed the Government buildings in Luhansk, seizing control of the centre of municipal activity in one of the largest cities in eastern Ukraine.",premise
"That kind of thuggery mimics the seizures of police stations, city halls and other Government buildings in cities and towns in Donetsk oblast and surrounding areas.",premise
"In addition to occupying Government buildings, over the past two weeks, gunmen kidnapped a senior police officer in Luhansk",premise
"In Donetsk, pro-Russian thugs armed with baseball bats attacked peaceful participants at a pro-unity rally, seriously injuring at least 15.",premise
"Also in Donetsk, pro-Russian groups continue to hold 17 buildings, including the regional television broadcasting centre.",premise
"In the city of Sloviansk, the mayor was kidnapped, as were several journalists.",premise
The separatists in that area now hold an estimated 40 hostages.,premise
"Nearby, three bodies were recently pulled from a river, each showing unmistakable signs of physical abuse; one has been identified as a local politician, another as a 19 year-old pro-unity student activist.",premise
"Yesterday, gunmen reportedly chased members of the Sloviansk Roma community from their homes.",premise
Make no mistake: those are not peaceful protests.,claim
It is not an eastern Ukrainian spring.,claim
"It is a well-orchestrated campaign, with external support, to destabilize the Ukrainian State.",claim
"pro-Russian separatists in Donetsk have kidnapped and continue to hold seven international inspectors, openly declared as members of a Vienna document mission, along with their Ukrainian escorts.",premise
My Government joins with responsible Governments everywhere in condemning that unlawful act and in being outraged by the shameful exhibition before the media of those international public servants.,claim
"We call, with others, for the immediate and unconditional release of the inspectors and their Ukrainian escorts and the immediate end to their mistreatment while in captivity.",claim
"We also call upon Russia, as a signatory to the Vienna document, to help secure their release and to confirm publicly, even if belatedly, for the record that the abducted monitors were part of a legitimate mission on behalf of the international community.",claim
"Since 17 April, the Government of Ukraine has acted in good faith and with admirable restraint to fulfil its commitments.",claim
The Kyiv city hall and its surrounding area are now clear of all Maidan barricades and protestors.,premise
"Over the Easter holiday, Ukraine voluntarily suspended its counter-terrorism initiative, choosing to de-escalate despite its fundamental right to provide security on its own territory and for its own people.",premise
"Unlike the separatists, Ukraine has cooperated fully with the OSCE special monitoring mission and allowed its observers to operate in regions about which Moscow had voiced concerns regarding the treatment of ethnic Russians.",premise
"In addition, Prime Minister Yatsenyuk has publicly committed his Government to undertake far-reaching constitutional reforms that will strengthen the power of the regions.",premise
"He has appealed personally to Russian-speaking Ukrainians, pledging to support special status for the Russian language and to protect those who use it.",premise
He announced legislation to grant amnesty to those who surrender arms.,premise
All of that should be cause for optimism and hope.,claim
"what we have seen from Russia since 17 April is exactly what we saw from Russia prior to 17 April: more attempts to stir up trouble, more efforts to undermine the Government of Ukraine and statement after statement at odds with the facts.",premise
What we have not seen is a single positive step by Russia to fulfil its Geneva commitments.,claim
Russian officials have refused to publicly call on the separatists to give up their weapons and relinquish their illegal control of Ukrainian Government buildings.,premise
"Russia continues to fund, to coordinate and to fuel the heavily armed separatist movement.",premise
"just outside of Ukraine's border, Russia has continued to engage in threatening troop movements that are designed not to calm tensions, but to embolden the separatists and to intimidate the Government.",premise
I emphasize that the United States remains committed to supporting the principles of the Charter of the United Nations and will continue to uphold the territorial integrity and sovereignty of Ukraine.,claim
"We continue to seek stability within a peaceful, democratic, inclusive and united Ukraine, especially in advance of the upcoming important elections.",claim
"We remain committed to a diplomatic process, but Russia seems committed to destabilization and fantastical justifications for its actions.",claim
"The truth about what is happening in Ukraine should guide our discussion,",claim
because truth is the only foundation on which an equitable and lasting solution to this crisis can be based.,premise
The crisis in Ukraine is the result of a complex fabric of historical and contemporary factors.,premise
A political solution is the only way to end the crisis.,claim
"To tackle the crisis at its roots, both the current situation and the historical facts must be considered, taking into account the legitimate rights, interests and demands of the various regions and ethnic communities of Ukraine and the legitimate concerns of all the parties concerned, with a view to achieving a balance ofinterests for all.",claim
"For some time now, various parties including China, have been vigorously engaged in mediation efforts and pushing for talks in order to ease the crisis in Ukraine.",claim
"The Geneva agreement reached between Russia, the United States, the European Union and Ukraine calls for measures to de-escalate the Ukrainian situation, thereby sending a positive signal for a political solution to the crisis.",premise
"Regrettably, tensions in eastern and south- eastern Ukraine have worsened, with each side more vehemently accusing the other.",claim
Threats and sanctions have again replaced dialogue and negotiation,claim
"China hopes that all parties concerned will keep in mind the broader picture of regional peace and stability, and the fundamental interests of all ethnic groups in Ukraine, maintain restraint, persevere in dialogue and consultations, effectively implement the agreement already reached by all of the parties and continue to push for a political solution to the crisis",claim
so as to achieve stability and development in Ukraine as soon as possible.,premise
"China's position on the question of Ukraine remains objective, impartial and responsible.",claim
"China has called on all parties to seek a political solution through dialogue rather than confrontation, and we support international mediation efforts conducive to de-escalating the situation and seeking a political solution.",claim
The Republic of Korea is deeply concerned over the continuing tensions in eastern Ukraine.,claim
"Despite the agreement reached in Geneva on 17 April, the situation in Ukraine is showing no signs of abating.",claim
"We are troubled in particular by the continuing violence and aggressive provocations by illegal armed groups, including the seizure of key public buildings and the recent assassination attempt against the Mayor of the eastern city of Kharkiv.",premise
All provocative actions and hostile rhetoric aimed at destabilizing Ukraine must cease immediately.,claim
all illegal armed groups must be disarmed and all illegally seized key public buildings vacated.,claim
"We strongly condemn the detention of military monitors of the Organization for Security and Cooperation in Europe (OSCE), as well as of Ukrainian staff by illegal armed groups.",claim
It should be noted that the OSCE monitoring mechanism is an indispensable tool for implementing the Geneva statement.,premise
It is unacceptable to target international observers who are working to de-escalate the volatile situation.,claim
They must be released immediately and unconditionally.,claim
The safety and security of all international personnel must be fully guaranteed by all actors on the ground.,claim
"In the light of the ongoing situation in Ukraine, we reiterate that constructive dialogue among all concerned parties will be the only way to achieve a peaceful solution.",claim
we call for all parties to the Geneva statement to implement their commitments.,claim
"As Ukraine moves towards critical elections in May,",premise
"it is all the more important to ensure the holding of fair and free elections in the country, without any intervention or influence by outside forces.",claim
"We once again reaffirm our full support for Ukraine's sovereignty, independence and territorial integrity.",claim
"We share his assessment that the situation in eastern Ukraine is deteriorating alarmingly, especially in Kharkiv, Luhansk and in the Donetsk area.",claim
"We are deeply concerned by the actions of the pro-Russian separatist militias backed by Russia, aimed at destabilizing eastern Ukraine and, it seems, preventing the holding of the presidential elections on 25 May.",claim
"These destabilizing actions have intensified again in recent days, with the proliferation of the illegal occupation of public buildings, an increasing number of attacks against the Ukrainian security forces and an increase in violence against the local population.",premise
"As others have already mentioned, just yesterday peaceful demonstrators in favour of the unity of the Ukraine were violently attacked by armed pro-Russian gangs armed with clubs and baseball bats in the city of Donetsk.",premise
"Today hundreds of pro-Russian demonstrators seized the building of the regional administration and the prosecutor's office in the city of Luhansk, and stormed the police station.",premise
We condemn those actions and the attacks targeting political figures in the strongest terms.,claim
"The torture and murder of the Horlivka city councillor, Volodymyr Rybak, whose remains were found last week near Sloviansk together with those of a young student from Kyiv, Yuriy Popravko, attest to the high level of violence.",premise
"Yesterday, the mayor of Kharkiv, Henadiy Kernes, was the target of an assassination attempt - there are differing interpretations with regard to the party responsible.",premise
These crimes must be investigated and everything possible must be done to prevent similar cases in the future.,claim
The violence of recent days shows once again the need to urgently de-escalate the situation.,claim
"We welcome the positive steps taken by Ukraine to fulfil the commitments set out in the Geneva statement adopted on 17 April by Ukraine, Russia, the European Union and the United States.",claim
"The Ukrainian Government has proposed an amnesty for those who leave the buildings they occupy in eastern Ukraine, as long as they have not committed crimes.",premise
"It is ready to launch an inclusive national dialogue on constitutional reform and decentralization, and has acted with restraint in response to the actions of armed militias in the east.",premise
"The international community expects Russia, for its part, to take concrete steps to bring the separatists in eastern Ukraine to de-escalate in accordance with the commitments undertaken in the Geneva statement.",claim
We expect Russia to use its influence over the separatist movements to convince them to seek dialogue with the Ukrainian Government instead of fighting.,claim
Russia should publicly condemn the actions of the separatists aimed at destabilizing Ukraine and call on armed militants to leave the illegally occupied buildings.,claim
"the withdrawal of Russian forces from the Ukrainian border is an essential step for de-escalating tensions, especially in eastern Ukraine",claim
We strongly condemn the kidnapping near the town of Sloviansk on 25 April of a team of military inspectors deployed under the 2011 Vienna document of the Organization for Security and Cooperation in Europe (OSCE).,claim
"We also condemn the temporary detention, on 27 April, of two members of the OSCE special monitoring mission in Yenakiyeve.",claim
The safety of international observers deployed anywhere in Ukraine must be ensured by all parties.,claim
The OSCE monitoring mission must be able to fulfil its role in the implementation of the Geneva statement.,claim
"We call on Russia to continue to use all of its influence on the pro-Russian separatists to encourage them to release unconditionally and promptly the seven inspectors from OSCE participating States that they have been holding hostage in Sloviansk for the past four days, as well as the Ukrainian personnel accompanying them.",claim
We also condemn the restrictions on media freedom and on the freedom of expression.,claim
The detention and intimidation of journalists have increased over the past two weeks in the east of the country.,premise
"The day before yesterday, pro-Russian separatists took control of the regional public television station in Donetsk.",premise
"Dunja Mijatovie, has repeatedly warned against misinformation and propaganda.",premise
I would like to join her appeal and highlight that any limitations on the freedom of the press is unacceptable.,claim
"Nothing can take the place of direct, substantive dialogue between Kyiv and Moscow to find a diplomatic solution to the Ukraine crisis.",claim
The crisis continues to worsen.,premise
"It will have harmful consequences for the entire region, Europe and beyond.",premise
The Geneva declaration of 17 April cannot remain a dead letter.,claim
The alternative to dialogue and to de-escalation would have incalculable consequences for international peace and security.,premise
"Australia strongly supported calls for the holding of tonight's briefing to give the Council an up-to-date sense of the continuing destabilization and increased tensions in eastern Ukraine, much of which has evidently been sponsored and condoned by the Russian Federation.",claim
Ukraine is living up to its Geneva commitments.,claim
It has submitted to Parliament a draft law on amnesty for protesters who surrender their weapons.,premise
It has initiated a process of constitutional reform aimed at decentralizing power.,premise
It has committed to holding a broad public debate on possible constitutional changes and sought proposals for constitutional reform.,premise
It is working to disarm radical movements.,premise
The Ukrainian Government has also said that it will guarantee the rights of Russian speakers to use their own language.,premise
"It has strongly condemned xenophobia, intolerance and anti-Semitism and begun an investigation into the distribution of anti-Semitic leaflets in Donetsk.",premise
It has invited all political groups to discuss ways to resolve the crisis in eastern Ukraine and it has supported the Organization for Security and Cooperation in Europe (OSCE) in its work to de-escalate tensions,premise
Russia's continued determination to promote instability and challenge Ukraine's authority over its sovereign territory.,claim
Russia's claims that it has no agency in or influence over the actions of armed militia groups operating in eastern Ukraine are not credible.,claim
"The seizure of OSCE observers on 25 April in Sloviansk and their mistreatment and their continued detention is a deplorable and cynical act against impartial international personnel working to bring peace and stability to the region, an act clearly intended to impede the ability of all OSCE monitors to work in eastern Ukraine.",premise
"continued and extreme provocations, including military manoeuvres on the Russian side of the Ukrainian border and reported multiple violations of Ukrainian air space by Russian military aircraft.",premise
the deplorable shooting on 28 April of the Mayor of Kharkiv and the abduction and killing of a Horlivka City Council representative,premise
"continued occupation of Government buildings by well-armed and coordinated paramilitary groups, including, today, the occupation of Government buildings in Lugansk.",premise
the increasing intimidation of local populations and illegal detentions.,premise
"increasing reports of violence, with people killed, wounded, beaten and tortured.",premise
it is appropriate and necessary for the Ukrainian Government itself to take measures to try to ensure security and protect its citizens in its own territory.,claim
it has a right to enforce the rule of law and respond in a manner proportionate to the circumstances.,claim
We welcome Deputy Minister for Foreign Affairs Lubkivsky's statement during his 25 April press conference at the United Nations that Ukraine would protect its people from provocation in a civilized manner so as to avoid bloodshed.,claim
We welcome Ukraine's recent acceptance ofjurisdiction of the International Criminal Court (ICC) with respect to crimes committed in its territory from November last year to February 2014.,claim
We urge Ukraine to extend the ICC's jurisdiction to crimes committed beyond that date and to accede to the ICC Statute.,claim
"overwhelmingly, the international community remains united in its support for Ukraine's sovereignty and territory integrity and in its position that Russia cease its illegal intervention, interference and provocative actions in Ukraine.",claim
Statements by other Security Council members tonight are further confirmation of that.,premise
"Australia continues to call on Russia to meet its Geneva commitments, to allow Ukraine's elections on 25 May to proceed without interference or obstruction",claim
which is the right of every sovereign nation,premise
to exercise its influence over separatist activists in Ukraine towards those ends.,claim
The crisis remains very dangerously poised.,premise
"Active, genuine and immediate efforts by Russia to defuse it are imperative.",claim
"The Kyiv regime, spurred on by Western well-wishers, are stubbornly pushing the country to disaster.",claim
If our Western colleagues had actually demonstrated a tenth of that commitment to maintaining order during the events at the Maidan then perhaps the current crisis could have been prevented.,claim
"On 17 April in Geneva, agreement was reached that all sides should refrain from any types of violence, intimidation or provocation.",premise
"However, in just a matter of days, there was a resumption ofthe so-called counter-terrorist, but actually punitive, operations - out and out violations of that agreement.",claim
"In the south-east, there was a deployment of roughly 15,000 military personnel, tanks, armed vehicles, artillery, aircraft and subdivisions of Right Sector Banderists.",premise
"As the first attempts to bring military pressure to bear on the south-east led to the defection of some Ukrainian military to the side of the protesters, today the sub-units are staffed by those from the west of the country.",claim
"it became clear that they had no intention of implementing the agreement, just as they did not intend to implement the agreement of 21 February.",claim
that treachery led to bloodshed.,claim
"it is difficulty to speak of confidence in the current coalition in Kyiv when the defence and law-enforcement agencies are essentially controlled by the Svoboda Party, whose political platform is based on declarations issued by Nazi collaborators in June 1941.",claim
"I would recall that the collaborators and the followers of Bandera killed not only Jews, Poles and Soviet soldiers but also Ukrainians who refused to subscribe to their sloganeering.",premise
"the Right Sector Banderists, instead of laying down their weapons, headed to the east of Ukraine.",claim
"As was declared, the Banderist army crossed the Dnepr.",premise
Neither the Right Sector with its Nazi slogans nor any other radical organizations have laid down their arms.,premise
those groups have become legal.,claim
They are forming military battalions with names like Dnepr and Donbass in their ranks.,claim
the Maidan remains occupied - cement blockades are still in place - as are several buildings in Kyiv.,claim
No one has liberated anything in Kyiv.,claim
They have been rented by armed fighters.,claim
"the People's Governor of Donetsk, Pavel Gubarev, who never had weapons in his hand, remains in prison.",claim
"He is a political prisoner, arrested just because he called for a referendum on the federalization of Ukraine.",premise
The monitors of the Organization for Security and Cooperation in Europe (OSCE) confirm that he was tortured and that he is now engaged in an indefinite hunger strike.,premise
Gubarev is far from being the only political prisoner of the Kyiv regime.,claim
One can speak of widespread witch hunts for those who have dared to express their disagreement with the Government in the Maidan.,premise
in the Donetsk region there are already about 10 cases of politically motivated kidnappings of people who were later transported to Kyiv by the special services.,premise
"On 28 April, there was an attack on the life of the popular mayor of Kharkiv, Hennadiy Kernes.",claim
My colleague from the United Kingdom rushed to say that the protesters in the south-east participated in that crime.,premise
That demands a careful investigation of the case.,premise
"Kernes had indeed spoken out about the chaos in other regions of Ukraine, and there were serious political battles between him and one of the heads of the defence and law-enforcement agencies.",premise
"On the same day - 28 April - at the Kherson airport, the presidential candidate's plane was blocked.",premise
He had been travelling as part ofthe presidential campaign.,premise
He was attacked.,premise
"In early April another candidate, Oleh Tsarev, was severely beaten.",premise
He was the only candidate for the presidential election without State protection.,claim
Tsarev was stripped of his right to participate in the televised debates.,claim
can we speak about the peaceful nature of the electoral campaign in Ukraine and of freedom of expression for its civilians?,claim
Yatsenyuk submitted to the Rada some sort of draft constitution.,premise
It is not really clear how it was prepared.,claim
What is certain is that it was not an open and inclusive process.,claim
"the Party of Regions, which represents the rest of the east of the country, was excluded from the process.",premise
It is no surprise that the draft was immediately criticized in the Rada by all sides.,premise
"We did not hear any reasonable answers to key questions, such as how the federalization or decentralization of the country would take place.",premise
It seems such things are to be substituted by some type of broadening of municipalities.,claim
"Instead of genuine collective work to bring Ukraine out of the crisis, which was brought about by political misadventurism, our colleagues from the United States and the European Union have preferred to make strong insinuations against Russia and thinking up some sort of sanctions that are pointless and counterproductive.",premise
"Perhaps they are satisfactory to some one, but the responsibility for the future of Ukraine, Europe and the world is not being considered - at least not by these people.",premise
The result is that the Government in Kyiv has done nothing to implement the Geneva document.,claim
"Our Western colleagues, first and foremost our American colleagues, which have an unprecedented impact on the situation in Kyiv, do not want, or have not been able, to convince the Government to uphold its obligations under the document.",premise
They must clearly understand the scope of their responsibility if the situation in Ukraine continues to deteriorate.,claim
"It is very difficult for us in Russia to see the chaos in such a close, fraternal country.",claim
But we understand the reason that brought about the protests in the east and south.,claim
People do not want a repeat of the Kyiv scenario.,premise
"They do not recognize the legitimacy of the Kyiv Government, which is made up of oligarchs.",premise
They have decided to create their own governing bodies.,premise
they have been accused of terrorism and punished by military operations.,claim
We call upon the Kyiv regime and its Western sponsors to think twice.,claim
"There is a need to lift the order on using arms against civilians, as well as to free the political prisoners and disarm the Right Sector.",premise
"A full constitutional process must take place, including representatives from all regions.",claim
"However, the most important work to de-escalate should be done by the Kyiv Government - as they call themselves.",claim
"On the OSCE monitors in Sloviansk, they were requested by the Kyiv Government, and as such were responsible for their security.",premise
"How can people be sent on a bus to an area controlled by self-defence forces, without even providing documents that would confirm their status?",premise
That was either a provocation by the Kyiv Government or just simple stupidity.,claim
"We are doing everything we can for the freeing of those prisoners, and one has already been released due to health reasons.",claim
our armed forces are on Russian territory.,claim
American forces are hardly at home.,claim
"They are in Australia, Lithuania, Poland and on the Black Sea, where an American vessel has remained longer than it was invited to do.",premise
our troops do conduct training exercises.,claim
But they do so in atransparent manner and while upholding all existing international agreements.,premise
We do not have any aggressive intentions towards Ukraine.,premise
"They Kyiv Government should keep a cool head and not engage in reckless activities with respect to the people in the south-east of the country, where there are many Russian citizens as well.",claim
the Geneva statement is just another document to be signed and discarded by Russia,claim
"adding to the growing list of breaches of Russia's international commitments, such as the Helsinki Final Act, the 1991 Almaty Declaration, the Budapest Memorandum of 1994, the Treaty of Friendship and Cooperation between Russia and Ukraine of l997 and the Charter of the United Nations itself.",premise
"Despite growing provocations, the Ukrainian authorities have taken a number of concrete steps to follow up on the Geneva statement.",claim
Barricades in Maidan Square are being dismantled.,premise
I recall my French colleague referring a number of times to the Internet and Google.,premise
Users of those will see that there is a significant difference in terms of what is happening on the streets of Kyiv.,premise
barricades are being dismantled.,premise
"The Kiyv city administration building has re-opened, as has the main thoroughfare of the city, Khreschatik.",premise
"Important proposals regarding the status of the Russian language, amnesty, greater rights for the regions, as well as limitations on the President's power, have been put forward by the transitional Governmet.",premise
"Indeed, as Ambassador Churkin referred to earlier today, constitutional reform was being discussed by the Parliament in a public session accessible to all.",premise
There has been a major debate on what was being proposed.,premise
"But, again, a major debate that includes criticism is a sign of democracy.",claim
"Unanimous decisions and acceptance of whatever is put on the table is something that abelongs to regimes, not democratic Governments.",claim
"It is necessary and it is something Kyiv has to do, and should be doing actively while involving all the regions and populations, because it affects the lives of the entire population of Ukraine",claim
"In a stark contrast to those efforts, armed separatists, aidead and abetted by Russia, are continuing their assault on Ukraine, adding violence to force and lawlessness to impunity.",claim
"As many noted earlier, yesterday and today saw more violent attacks in the city of Luhansk and elsewhere - in Mykolaiv and in Konstiantynivka - where men armed with clubs and metal bars smashed windows and doors.",premise
"A pro-unity rally was attacked by men in military fatigues, leading to over a dozen injuries among pro-Ukrainian protesters.",premise
"a Ukrainian helicopter was downed by a rocket-propelled grenade, hardly a weapon so-called peaceful protesters - as labelled by the Russian side - can buy at the local corner market.",premise
That certainly does not sound like the implementation of Geneva agreement by the separatists and their state sponsors?,claim
"Displays of brutal force, beatings, disappearances, torture, killings and hostage-taking have become a daily reality in eastern Ukraine under militant separatist rule.",premise
"While quick to condemn and brand Ukrainian authorities for alleged crimes, Russia has yet to issue a single condemnation of the violence carried out by armed separatists.",claim
"The legitimate right of Ukraine, to which our Australian colleague has referred, to defend its territory and its State has been exercised with incredible restraint and caution, although portrayed by the Russian propaganda machinery as a bloodbath and a valid cause for intervention.",claim
"If what Ukraine is carrying out in the eastern part of its country is a military punitive action, it is probably the most invisible, impossible military action on Earth.",claim
Nothing has happened in that sense.,claim
"in a threatening tone, Russia recently ordered Ukraine to withdraw Ukrainian troops stationed on Ukraine's own soil, or else - so much for respect for Ukraine's international sovereignty.",premise
We firmly reject all of Russia's attempts to validate its intentions and threats to use armed forces or to send so-called Russian peacekeepers into Ukraine.,claim
"As a permanent member of the Security Council, Russia should know better than to exploit the name of peacekeeping to cover up its aggressive expansionist aims.",claim
is sounding increasing alarm regarding the treatment of journalists and the deterioration of media freedom in eastern Ukraine.,claim
"In areas under the control of pro-Russian militants, journalists are attacked, detained, harassed and their equipment taken or smashed.",premise
There is probably something to hide if there is such a distaste and dislike of free media in that part of Ukraine.,premise
We reiterate our call to end impunity for attacks against journalists.,claim
"We also call for a thorough investigation of kidnappings, torture and killings, committed by whomever, and to insist that the perpetrators of all such acts be brought to justice.",claim
We also hope the report will look into the human rights situation in occupied Crimea.,claim
the Crimean Tatar leader Mustafa Dzhemilev has been barred from returning home to Crimea.,premise
A group of camouflage-clad men stormed the Tatar Assembly offices and tore down the Ukrainian flag there.,premise
The director and editor of Crimean Tatar programmes on Crimean State television have been forced out by local authorities because they had spoken against increasing censorship.,premise
"A new level of banditry by the separatists in eastern Ukraine was reached on 25 April, when they kidnapped a group of OSCE representatives.",premise
"Notably, when asked to release the hostages, the separatists were quoted as saying that they needed to speak to the competent authorities in the Russian Federation.",premise
My delegation strongly condemns the kidnapping of unarmed OSCE military verification mission observers and Ukrainian security personnel.,claim
"Such acts, as well as the public parading of the hostages,",premise
"speak loudly to the true character and intentions of the separatists, who seek to disrupt international observation so that they can continue attacking Ukraine out of sight of the international community.",claim
"The parties with influence on the militant separatists, first and foremost Russia, must take all necessary steps to bring about the immediate release of all hostages, without preconditions.",claim
"The international monitoring and mediation efforts of the United Nations, OSCE and other regional bodies must be fully supported, guaranteed safety and security, and allowed full freedom of access on all of Ukraine's territory.",claim
"those opposed to Ukraine's independence, sovereignty and territorial integrity are at it again.",claim
"""We will take all necessary measures so that elections do not take place in the south-east",premise
"When asked what they would be ready to do, he said: ""We will take somebody hostage and hang them up by the balls.",premise
"It is real, you understand?""",premise
The intent here could not be more clear - it is to prevent Ukraine's return to normality.,claim
"We all understand that there are legitimate complaints in south-eastern Ukraine, borne out of decades of mismanagement and corruption and misrule, including the rule of the previous President, Yanukovych, who fled the country in disgrace.",claim
It is time for the current Government to start seriously addressing issues of socioeconomic development,claim
because a lot of that discontent is based on the socioeconomic concerns of the population.,premise
"Once those issues are addressed, the level of so-called separatism, I am sure, will diminish.",claim
"My Government condemns the actions of armed separatists and their external sponsors, aimed at further undermining and threatening the territorial integrity, sovereignty and independence of Ukraine.",claim
"The onus is now on Russia to stop interfering in Ukraine's internal affairs and fomenting unrest in Ukraine, and to abandon its threats of the use of force.",claim
Ukraine is doing its part to implement the Geneva agreement on Ukraine.,premise
It is time for Russia to live up to its own commitments and to reclaim respect for the Charter of the United Nations and international law.,claim
"It has been a month since Russia illegally occupied and annexed Crimea, using its military forces and brutally violating international law.",claim
"Unfortunately, Russia has not stopped there, and apparently its leaders are now targeting other parts of Ukraine and brazenly interfering in its internal affairs.",claim
"In order to implement the Geneva statement for the de-escalation of the situation in the eastern regions of Ukraine, the Government of Ukraine immediately took the necessary practical steps.",claim
"Within just one week, the Government suspended the active phase of its anti-terrorist operation, whose main objective was the restoration of law and order and the protection of civilians.",premise
It initiated constitutional reform.,premise
"It approved the concept of local administrative reform, whose main principles are decentralizing power in the country, significantly empowering local communities and improving management at the regional and district levels",premise
"A draft law on amnesty for participants in the uprisings in the eastern regions has been prepared and would apply to those protesters who surrender their weapons and evacuate illegally seized administrative buildings, except for those suspected of committing serious crimes.",premise
The parliamentary coalition has invited all political parties represented in the Ukrainian Parliament to sign a memorandum of understanding on ways to resolve the situation in eastern Ukraine.,premise
"The Minister of Internal Affairs and Security Services has continued implementing a nationwide campaign to seize illegal arms from the population, and more than 6,000 weapons have been handed over recently.",premise
Ukraine is demonstrating its commitment to constructive cooperation with human-rights institutions and international organizations.,claim
What has Russia done for its part of the Geneva document?,claim
It has done nothing.,claim
"Because of the lack of support for the separatists among the population of eastern Ukraine, Russia is seeking new ways to destabilize the situation in the region, preparing and carrying out numerous armed provocations through its agents.",premise
"Russian-sponsored illegal paramilitary units have continued to destabilize the situation in eastern Ukraine, preparing the ground for a new stage of military aggression.",premise
The Russian leadership has done nothing to publicly dissociate itself from the armed separatists and provocateurs or to urge them to immediately lay down their arms and release captured administrative buildings.,premise
"Russia has not even condemned the seizure of hostages, including journalists, or separatists' open acts of xenophobia and anti-Semitism.",premise
Any attempts by Russia to show that the Ukrainian Government is trying to use force against the peaceful Ukrainian population are lies.,claim
"Our Government respects freedom of expression and the right to peaceful assembly, which are guaranteed by the Constitution of Ukraine.",premise
"However, when heavily armed, professionally trained groups led by Russian military seize law-enforcement facilities and administrative offices, kill Ukrainian police officers and take hostages,",premise
they are operating like terrorists and must be treated accordingly.,claim
Ukrainian counter-terrorism operations are targeted exclusively at illegal armed groups threatening civilians.,claim
"Meanwhile, the Russian-controlled army groups are in fact holding the entire civilian population of several towns in the eastern region hostage and have thus transgressed the bounds of humanity.",claim
"Three Ukrainian law-enforcement officers were abducted, brutally beaten, tortured and later presented to the Russian media as Ukrainian spies, blindfolded and with their hands tied.",premise
"Ukrainian and foreign journalists are being systematically kidnapped, while Russian journalists are allowed to operate in the areas controlled by the illegal armed groups.",premise
A military helicopter was destroyed with a man-portable air defence (MANPAD) guided missile.,premise
It should be understood that peaceful protesters cannot buy MANPADs in shops.,premise
Representatives of the military verification mission of the Organization for Security and Cooperation in Europe (OSCE) were taken hostage in Sloviansk.,premise
The detention by force of international observers is yet another testament to the criminal and terrorist nature of the separatist armed groups.,premise
"In contrast to the demand voiced in many of the statements in the Council today that those hostages be released, the Russian Federation, as might be expected, made no such demand; nor have its leaders in Moscow.",claim
What is important is that the leaders of the illegal armed groups have publicly admitted responsibility for all the aforementioned crimes * even on television.,premise
"Many members of the illegal militant groups are citizens of the Russian Federation, and they are not even trying to hide it, publicly displaying their identification.",premise
"We recently read an article in The New York Times in which the Kuban Cossack Mozhaev declared his presence and that of an armed group from his region, which we had noticed in Crimea as well.",premise
Ukrainian law-enforcement agencies have credible evidence of these persons' involvement in serious crimes.,premise
"Today, some ofthose crimes have been described.",premise
"Among them was the brutal story of Volodymyr Rybak, a member of Horlivka's City Council, and Yuriy Popravko, a l9-year-old activist from Kyiv, who were martyred by members of terrorist groups.",premise
"Their bodies, mutilated by torture, were found in the Torets River in the vicinity of Sloviansk.",premise
Volodymyr Rybak disappeared on 17 April in Horlivka after he tried to remove the separatists' flag from the building of Horlivka City Council.,premise
"A video of the kidnapping, as well as audio recordings of phone conversations intercepted by Ukraine's Security Service, provided sufficient proof that terrorist leaders, notably the self-proclaimed mayor of Sloviansk, Vyacheslav Ponomaryov, and the military commander of the terrorists, the Russian agent Igor Strelkov, were involved in the murder.",premise
"The true identity of the Russian agent has been established as Colonel Igor Girkin of Russian military intelligence, who is registered as a permanent resident of Moscow.",premise
"The Government of Ukraine strongly condemns the aforementioned acts of terror and violence, including yesterday's attempt to assassinate the Mayor of Kharkiv, Hennadiy Kernes, who publicly supported the unity and territorial integrity of Ukraine.",claim
President Putin now openly admits the use of Russian military forces and praises them for their heroism and the successful completion of the operation aimed at the reunification of Crimea with Russia.,claim
They have even issued a special medal of honour.,premise
"And now, in spite of numerous irrefutable facts concerning Russian military involvement in organizing and guiding illegal armed groups in eastern Ukraine, Moscow denies any Russian military participation just as hard.",claim
"Furthermore, Russia is now threatenting to use force, as demonstrated by its concentration of armed forces directly on the eastern border of our country.",claim
The number of units along Ukraine's borders has increased.,premise
"Last week, we all heard intensified militaristic rhetoric from senior Russian officials, including President Putin, Minister Lavrov and Minister Shoigu, threatening to send Russian troops into the territory of Ukrain under various pretexts.",premise
"Defence Minister Shoigu reported the start of new military exercises by battalion tactical groups from the southern and western military districts of the Russian armed forces in connection with ""the deteriorating situation in southeastern Ukraine"".",premise
the withdrawal of troops announced by Minister Shoigu yesterday has not come true.,claim
We still observe those troops near our borders.,premise
"Let me remind him that Ukraine has never threatened Russia, and never will.",claim
Ukrainians want to live in peace and to be left alone.,claim
