Sentence,Label,Components
It is very clear that every such attempt launched early in the twenty-first century has resulted in terrible destabilization.,premise,"{'It is very clear that every such attempt launched early in the twenty-first century has resulted in terrible destabilization.': ['premise', 125]}"
"But, having taken that first step, the people who made those attempts have nonetheless been unable to stop and have gone on with them.",claim,"{'having taken that first step, the people who made those attempts have nonetheless been unable to stop and have gone on with them.': ['claim', 129]}"
This time that has led to serious destabilization in Ukraine.,claim,"{'This time that has led to serious destabilization in Ukraine.': ['claim', 61]}"
"I would like to remind the Council that, during the several months of crises preceding the overthrow of the lawful administration between 21 and 25 February, our Western colleagues never once called for a halt to the violence perpetrated in Kyiv and other regions of Ukraine against the lawful authorities.",none,{}
"There were no calls to President Yanukovych to use every possible means at his disposal as lawful President, including that of force, in order to impose order in the country.",none,{}
"But now, for some reason, those calls are coming loud and clear.",none,{}
"During this entire crisis, Russia has wanted only one thing, which is to avoid destabilization in Ukraine and settle everything through negotiations.",claim,"{'Russia has wanted only one thing, which is to avoid destabilization in Ukraine and settle everything through negotiations.': ['claim', 122]}"
"We proposed tripartite talks among Ukraine, the European Union and Russia at the start ofthe crisis on the political confrontation that focused on whether Ukraine should sign an association agreement with the European Union.",premise,"{'We proposed tripartite talks among Ukraine, the European Union and Russia at the start ofthe crisis on the political confrontation that focused on whether Ukraine should sign an association agreement with the European Union.': ['premise', 224]}"
"For some reason, the European Union, with the support of the United States, rejected our proposal.",none,{}
"When the 25 February agreement was reached, we supported it.",premise,"{'When the 25 February agreement was reached, we supported it.': ['premise', 60]}"
"We still believe that many of the 25 February positions are right, and that they must be kept to if we hope to bring Ukraine out of political crisis.",claim,"{'many of the 25 February positions are right': ['claim', 43], 'they must be kept to if we hope to bring Ukraine out of political crisis.': ['claim', 73]}"
We helped to conclude the 17 April Geneva agreement.,premise,"{'We helped to conclude the 17 April Geneva agreement.': ['premise', 52]}"
"It is a simple agreement, but it points to a way out of the crisis in the country.",claim,"{'it points to a way out of the crisis in the country.': ['claim', 52]}"
The one thing that is essential is that the agreement be fulfilled.,none,{}
But the most striking and infuriating thing is that the demands of the people of eastern Ukraine are basically fairly simple.,premise,"{'But the most striking and infuriating thing is that the demands of the people of eastern Ukraine are basically fairly simple.': ['premise', 125]}"
"Finding themselves in a situation in which the nation's capital was occupied by an illegitimate authority, to a large degree consisting of hostile nationalist radical elements, the people asked that their rights be guaranteed.",premise,"{""Finding themselves in a situation in which the nation's capital was occupied by an illegitimate authority, to a large degree consisting of hostile nationalist radical elements, the people asked that their rights be guaranteed."": ['premise', 226]}"
They demanded federalization.,claim,"{'They demanded federalization.': ['claim', 29]}"
It was noticeable that for a long period - almost two months after the overthrow of the lawful Government - no one there took up arms for at least a couple of months.,claim,"{'no one there took up arms for at least a couple of months.': ['claim', 58]}"
They were all waiting for some constructive reaction from Kyiv to their demands for protecting their own interests.,premise,"{'They were all waiting for some constructive reaction from Kyiv to their demands for protecting their own interests.': ['premise', 115]}"
Not once did any kind of reasonable reaction or serious initiative emanate from Kyiv.,claim,"{'Not once did any kind of reasonable reaction or serious initiative emanate from Kyiv.': ['claim', 85]}"
"Today some of our colleagues spoke approvingly of the most recent - today or yesterday - pronouncement of Mr. Yatsenyuk, in which he talked about 25 May, for which presidential elections are scheduled, and that there will be some kind of poll on decentralization of the country.",premise,"{'for which presidential elections are scheduled, and that there will be some kind of poll on decentralization of the country.': ['premise', 124]}"
A poll.,none,{}
"The people have been fighting on the barricades for weeks, and they think they have to conduct a poll in order to figure out people's opinion about what they want.",claim,"{""The people have been fighting on the barricades for weeks, and they think they have to conduct a poll in order to figure out people's opinion about what they want."": ['claim', 163]}"
What bothered me more than anything today was how calmly and approvingly our Western colleagues spoke about the search operations that the Kyiv authorities are now carrying out in eastern Ukraine.,premise,"{'What bothered me more than anything today was how calmly and approvingly our Western colleagues spoke about the search operations that the Kyiv authorities are now carrying out in eastern Ukraine.': ['premise', 196]}"
"They gave the impression that they know what the Kyiv authorities are thinking, what their plans are.",premise,"{'They gave the impression that they know what the Kyiv authorities are thinking, what their plans are.': ['premise', 101]}"
"Maybe they had a part in drawing up those plans, and that was why they talked about what was going on so calmly.",premise,"{'Maybe they had a part in drawing up those plans, and that was why they talked about what was going on so calmly.': ['premise', 112]}"
"Perhaps that should not be so surprising after all, because, as we know, every visit to Kyiv by senior American officials has resulted in events reaching new levels of confrontation, and a more violent turn of events.",claim,"{'every visit to Kyiv by senior American officials has resulted in events reaching new levels of confrontation, and a more violent turn of events.': ['claim', 144]}"
"In that regard, it is not surprising that the United States, as I said in my statement, did not want the Organization for Security and Cooperation in Europe (OSCE) to do as it was supposed to under the Vienna Document, that is, to bring about dialogue and organize a round table with representative of different regions and the Kyiv Government.",claim,"{'it is not surprising that the United States, as I said in my statement, did not want the Organization for Security and Cooperation in Europe (OSCE) to do as it was supposed to under the Vienna Document, that is, to bring about dialogue and organize a round table with representative of different regions and the Kyiv Government.': ['claim', 328]}"
Why did the United States not want the OSCE to do that?,premise,"{'Why did the United States not want the OSCE to do that?': ['premise', 55]}"
"Throughout the crisis, Russia several times has suggested different formats for the organization of such dialogue between the Government and opposition forces and regions.",claim,"{'Throughout the crisis, Russia several times has suggested different formats for the organization of such dialogue between the Government and opposition forces and regions.': ['claim', 171]}"
The Government did not want to or could not do it themselves.,premise,"{'The Government did not want to or could not do it themselves.': ['premise', 61]}"
We suggested a constitutional assembly be convened.,premise,"{'We suggested a constitutional assembly be convened.': ['premise', 51]}"
They said they were not ready to do so.,premise,"{'They said they were not ready to do so.': ['premise', 39]}"
"When the meeting of 17 April was organized, we suggested that representatives of the regions should be included, and that the four parties - the European Union, the United States and Russia and the acting Minister for Foreign Affairs of Ukraine - could start those talks.",premise,"{'When the meeting of 17 April was organized, we suggested that representatives of the regions should be included, and that the four parties - the European Union, the United States and Russia and the acting Minister for Foreign Affairs of Ukraine - could start those talks.': ['premise', 271]}"
But that proposal was rejected.,premise,"{'But that proposal was rejected.': ['premise', 31]}"
"The OSCE was then given the mandate, which it tried to carry out only then to be told it should not.",premise,"{'The OSCE was then given the mandate, which it tried to carry out only then to be told it should not.': ['premise', 100]}"
"Instead, tanks were brought out to Sloviansk and other cities in the east of the country.",premise,"{'Instead, tanks were brought out to Sloviansk and other cities in the east of the country.': ['premise', 89]}"
"Regarding what one colleague said, that Russia is refusing to implement the 17 April Geneva statement, I would repeat that Russia would never refuse to implement any useful document agreed upon during the crisis, including the 21 February agreement.",claim,"{'Regarding what one colleague said, that Russia is refusing to implement the 17 April Geneva statement': ['premise', 101], 'I would repeat that Russia would never refuse to implement any useful document agreed upon during the crisis, including the 21 February agreement.': ['claim', 146]}"
"Actually listening to my statement today, one would notice that the political components were quotations from the 17 April document.",none,{}
"If we are truly intent on finding a political solution to the crisis in spite of the dramatic events of recent days, then perhaps we might ask the President, the Permanent Representative of Korea, to make a statement following this meeting, stating that the Security Council, in keeping with the 17 April Geneva statement, calls for a swift halt to the violence, including, of course, the use of force in eastern Ukraine, and appeals for the swift and comprehensive implementation of the Geneva statement.",claim,"{'then perhaps we might ask the President, the Permanent Representative of Korea, to make a statement following this meeting, stating that the Security Council, in keeping with the 17 April Geneva statement, calls for a swift halt to the violence, including, of course, the use of force in eastern Ukraine, and appeals for the swift and comprehensive implementation of the Geneva statement.': ['claim', 388]}"
"If other members would be ready to support such action, then we would too.",claim,"{'If other members would be ready to support such action, then we would too.': ['claim', 74]}"
I wouldjust like to offer a couple of points in response.,none,{}
"First, for the Russians to blame Ukraine for Ukraine's actions in defence of its own people on its own territory really is starting to remind me of the story of the schoolboy who returned home with his nose bloody and his shirt torn and, asked by his mother how the fight started, he said ""it started when the other boy hit me back"".",premise,"{'First, for the Russians to blame Ukraine for Ukraine\'s actions in defence of its own people on its own territory really is starting to remind me of the story of the schoolboy who returned home with his nose bloody and his shirt torn and, asked by his mother how the fight started, he said ""it started when the other boy hit me back"".': ['premise', 333]}"
"We have to be clear about cause and effect here, and many Council members, including me, have already gone through the facts that have brought us to this point.",premise,"{'We have to be clear about cause and effect here': ['claim', 47], 'many Council members, including me, have already gone through the facts that have brought us to this point.': ['premise', 107]}"
"My second point is to debunk yet another of the lies that have been told in this Chamber, because it relates to my country, the United States.",premise,"{'My second point is to debunk yet another of the lies that have been told in this Chamber, because it relates to my country, the United States.': ['premise', 142]}"
"People in this Chamber have heard many times, including just now, that the United States and other countries never called oon protesters in the Maidan to leave buildings or avoid violence.",claim,"{'the United States and other countries never called oon protesters in the Maidan to leave buildings or avoid violence.': ['claim', 117]}"
The implication is that we are holding Russian separatists to a different standard.,claim,"{'we are holding Russian separatists to a different standard.': ['claim', 59]}"
That is a claim that has been made in almost every meeting we have had.,none,{}
I would just like to correct the record.,none,{}
"On 15 January, we condemned the actions of rioters outside a Kyiv court building on 10 January.",premise,"{'On 15 January, we condemned the actions of rioters outside a Kyiv court building on 10 January.': ['premise', 95]}"
"On 22 January, the aggressive actions of members of the extreme-right group Pravy Sektor were unacceptable, enflaming conditions on the streets and undermining the efforts of peaceful protesters.",premise,"{'On 22 January, the aggressive actions of members of the extreme-right group Pravy Sektor were unacceptable, enflaming conditions on the streets and undermining the efforts of peaceful protesters.': ['premise', 195]}"
We condemned the targeted attacks against journalists and unofficial groups such as Titushky.,premise,"{'We condemned the targeted attacks against journalists and unofficial groups such as Titushky.': ['premise', 93]}"
"On 24 January, when protesters occupied some regional administration buildings, we reiterated our call for all protesters and Government forces to refrain from violence and the destruction of property.",premise,"{'On 24 January, when protesters occupied some regional administration buildings, we reiterated our call for all protesters and Government forces to refrain from violence and the destruction of property.': ['premise', 201]}"
"On 27 January, we made clear that we condemned the use of violence to seize Government buildings, such as the takeover of a Ministry of Justice building that took place over the past cople of days and of a public exhibition hall that weekend, and continued to reiterate our call for all protesters and Government forces to refrain from violence and the destruction of property.",premise,"{'On 27 January, we made clear that we condemned the use of violence to seize Government buildings, such as the takeover of a Ministry of Justice building that took place over the past cople of days and of a public exhibition hall that weekend': ['premise', 241], 'continued to reiterate our call for all protesters and Government forces to refrain from violence and the destruction of property.': ['premise', 130]}"
"Those are just a few of the statements that we made, but if we could just take that particular lie of the table, it would be helpful and a little more constructive.",claim,"{'if we could just take that particular lie of the table, it would be helpful and a little more constructive.': ['claim', 107]}"
What is more important now is where we go from here.,none,{}
What I would ask my Russian colleague is whether Russia will make public statements and work privately behind the scenes to urge Russian separatists to negotiate peacefully their departure from public buildings.,none,{}
Where does Russia assess that Russian separatists who claim loyalty to the Russian Government and who wear uniforms just like those of Russian soldiers obtained weapons and training capable of shooting down Ukrainian helicopters?,none,{}
"Finally, Russia repeatedly takes aim at the so-called illegitimate Government in Kyiv but refuses to acknowledge ever, in any meeting, that it did not embrace the 21 February agreement when it was negotiated.",none,{}
"We have a golden opportunity on 25 May for the people of eastern Ukraine to have their voices heard, for them to choose their own leaders and for us to get to a universally legitimate Government that is respected and chosen by all of the people of Ukraine.",premise,"{'We have a golden opportunity on 25 May for the people of eastern Ukraine to have their voices heard': ['claim', 99], 'for them to choose their own leaders and for us to get to a universally legitimate Government that is respected and chosen by all of the people of Ukraine.': ['premise', 155]}"
"Yet Russia will not come out in support of the elections and work with us to ensure that they take place - which would be the best way of ensuring rights, representativeness and greater autonomy for the people of eastern Ukraine.",premise,"{'Yet Russia will not come out in support of the elections and work with us to ensure that they take place': ['claim', 104], 'which would be the best way of ensuring rights, representativeness and greater autonomy for the people of eastern Ukraine.': ['premise', 122]}"
"I did not want to say that a lie cannot only be a distortion of facts, but also a selective interpretation of one's own position.",none,{}
That is what we have just heard from my American colleague.,none,{}
"What we have heard from Washington, DC, and the way it was heard clearly demonstrated to all - including to those in Kyiv, which is most important - that the United States looked favourably on the forceful change of power, which did not ultimately serve the interests of the Ukrainian people.",premise,"{'What we have heard from Washington, DC, and the way it was heard clearly demonstrated to all - including to those in Kyiv, which is most important': ['premise', 146], 'the United States looked favourably on the forceful change of power, which did not ultimately serve the interests of the Ukrainian people.': ['claim', 138]}"
Regarding my proposal.,none,{}
"1 do think it would be good to conclude this meeting with such a statement, not asking every delegation what it is going to declare but rather make ajoint statement calling for a swift halt to all violence.",none,{}
"including the use of military force in the cast of the country, and for seriously taking up the full implementation of the Geneva document.",none,{}
We meet today in the most tragic of circumstances.,none,{}
"Yesterday, Malaysia Airlines passenger flight MH-l7 appears to have been shot down over eastern Ukraine, killing all passengers and crew.",premise,"{'Malaysia Airlines passenger flight MH-l7 appears to have been shot down over eastern Ukraine, killing all passengers and crew.': ['premise', 126]}"
"Our deepest, most heartfelt condolences go to the families of the victims and to the people and Governments of those countries affected.",none,{}
"In the United Kingdom, we are mourning the loss of at least nine British citizens who were passengers on the flight.",none,{}
This is a dark moment for the international community.,none,{}
The senseless violence unleashed by armed separatists in eastern Ukraine has reached monstrous proportions.,claim,"{'The senseless violence unleashed by armed separatists in eastern Ukraine has reached monstrous proportions.': ['claim', 107]}"
The precise circumstances and causes of this tragic event must be established quickly and beyond any doubt.,claim,"{'The precise circumstances and causes of this tragic event must be established quickly and beyond any doubt.': ['claim', 107]}"
"As the Council has affirmed this morning, that will require a full, thorough and independent international investigation, in accordance with international civil aviation guidelines.",premise,"{'that will require a full, thorough and independent international investigation, in accordance with international civil aviation guidelines.': ['premise', 139]}"
"The International Civil Aviation Organization, which provides the international legal framework for the investigation of air accidents, should have a central role to play in ensuring that there is credible and independent international involvement.",premise,"{'The International Civil Aviation Organization, which provides the international legal framework for the investigation of air accidents': ['premise', 134], 'should have a central role to play in ensuring that there is credible and independent international involvement.': ['claim', 112]}"
We welcome the indications from the Ukrainian authorities that they want international investigators to join their efforts.,claim,"{'We welcome the indications from the Ukrainian authorities that they want international investigators to join their efforts.': ['claim', 123]}"
The United Kingdom will provide whatever assistance is necessary to support that investigation.,none,{}
The immediate priority has to be for investigators to gain access to the crash site so they can start their work.,claim,"{'The immediate priority has to be for investigators to gain access to the crash site so they can start their work.': ['claim', 113]}"
They must be able to operate unhindered and in security.,claim,"{'They must be able to operate unhindered and in security.': ['claim', 56]}"
There must be no interference or tampering with the evidence.,premise,"{'There must be no interference or tampering with the evidence.': ['premise', 61]}"
Armed separatist groups in the vicinity must allow such access.,premise,"{'Armed separatist groups in the vicinity must allow such access.': ['premise', 63]}"
"Despite assurances made yesterday evening, we understand that has not yet happened.",premise,"{'Despite assurances made yesterday evening, we understand that has not yet happened.': ['premise', 83]}"
We call on Russia to use its influence with those groups to ensure that it happens.,claim,"{'We call on Russia to use its influence with those groups to ensure that it happens.': ['claim', 83]}"
The special monitoring mission of the Organization for Security and Cooperation in Europe already present in eastern Ukraine can play a key role in facilitating and safeguarding access.,none,{}
Early indications are that Malaysia Airlines Flight MH-l7 was brought down by a surface-to-air missile.,none,{}
The MH-17 is not the first aircraft to be brought down in the area.,none,{}
"On 14 June, armed separatists claimed responsibility for - indeed, gloated publicly over 4 the shooting down of a Ukrainian I1-76 transport aircraft, with a loss of all 49 aboard.",none,{}
"On 14 July, armed separatists shot down an An-26 transport aircraft with a surface-to-air missile.",none,{}
"And, on 16 July, a Ukrainian Su-25 jet was shot down in circumstances that have yet to be fully clarified.",none,{}
We have to ask searching questions about why we are now confronting this tragic situation.,none,{}
Russian officials have claimed that armed separatists in eastern Ukraine represent a spontaneous local insurgency.,premise,"{'Russian officials have claimed that armed separatists in eastern Ukraine represent a spontaneous local insurgency.': ['premise', 114]}"
We know that is not the case.,premise,"{'We know that is not the case.': ['premise', 29]}"
We know that the three leading figures of the so-called Donetsk People's Republic are Russian citizens who have come from outside Ukraine.,premise,"{""We know that the three leading figures of the so-called Donetsk People's Republic are Russian citizens who have come from outside Ukraine."": ['premise', 138]}"
"We know that weapons, equipment and logistical support have been systematically provided to armed separatist groups by Russia, including up to 100 man-portable air defence systems and 15 to 25 main battle tanks, not to mention artillery pieces, rocket launchers and other armoured vehicles.",premise,"{'We know that weapons, equipment and logistical support have been systematically provided to armed separatist groups by Russia, including up to 100 man-portable air defence systems and 15 to 25 main battle tanks, not to mention artillery pieces, rocket launchers and other armoured vehicles.': ['premise', 290]}"
The United Kingdom urges Russia to reflect carefully on the situation it has created.,claim,"{'The United Kingdom urges Russia to reflect carefully on the situation it has created.': ['claim', 85]}"
We urge Russia to cease its policy of supporting armed separatist groups and their violent actions of destabilizing a neighbouring country and of generating displacement and social and economic hardship.,claim,"{'We urge Russia to cease its policy of supporting armed separatist groups and their violent actions of destabilizing a neighbouring country and of generating displacement and social and economic hardship.': ['claim', 203]}"
Let us hear today a clear and unequivocal condemnation from Russia of the actions of these armed groups.,none,{}
"These armed groups do not represent the people of Ukraine; without Russian support, they would wither.",claim,"{'These armed groups do not represent the people of Ukraine': ['claim', 57], 'without Russian support, they would wither.': ['premise', 43]}"
It is the Council's responsibility to respond to such tragedies by drawing the right lessons and working together with commitment and conviction to prevent their repetition.,claim,"{""It is the Council's responsibility to respond to such tragedies by drawing the right lessons and working together with commitment and conviction to prevent their repetition."": ['claim', 173]}"
"It is clear where responsibility lies: with the senseless violence of armed separatists and with those who have supported, equipped and advised them.",claim,"{'It is clear where responsibility lies': ['claim', 37], 'with the senseless violence of armed separatists and with those who have supported, equipped and advised them.': ['claim', 110]}"
"The Council must be united in condemning these actions and in demanding that these groups disarm, desist from violence and intimidation and engage in dialogue through the democratic mechanisms that are available to them.",claim,"{'The Council must be united in condemning these actions and in demanding that these groups disarm, desist from violence and intimidation and engage in dialogue through the democratic mechanisms that are available to them.': ['claim', 220]}"
"They have been given opportunities to do so, most recently through President Poroshenko's peace plan.",none,{}
Those opportunities have all been spurned.,none,{}
"In the press statement agreed earlier today, the members of the Security Council expressed their condolences and called for an international investigation and appropriate accountability.",premise,"{'the members of the Security Council expressed their condolences and called for an international investigation and appropriate accountability.': ['premise', 141]}"
"That is welcome, but it is not enough.",claim,"{'That is welcome, but it is not enough.': ['claim', 38]}"
The Council must go further.,claim,"{'The Council must go further.': ['claim', 28]}"
"It should come together behind a clear demand that the armed separatist groups should lay down their arms and pursue whatever political legitimate objectives they may have through exclusively peaceful and democratic means, and that the flow of arms, fighters and logistical support to the armed separatists be fully halted and the borders secured.",claim,"{'It should come together behind a clear demand that the armed separatist groups should lay down their arms and pursue whatever political legitimate objectives they may have through exclusively peaceful and democratic means, and that the flow of arms, fighters and logistical support to the armed separatists be fully halted and the borders secured.': ['claim', 347]}"
"In the light of yesterday's tragedy, any other course of action would be unconscionable.",claim,"{'any other course of action would be unconscionable.': ['claim', 51]}"
Yesterday we were all shocked by the downing of Malaysia Airlines Flight 17.,none,{}
All 298 people aboard - 283 passangers and 15 crew members - were killed.,premise,"{'All 298 people aboard - 283 passangers and 15 crew members - were killed.': ['premise', 73]}"
"As we stared at the passanger list yesterday, we saw next to three of the passangers' names a capital ""I"".",premise,"{'As we stared at the passanger list yesterday, we saw next to three of the passangers\' names a capital ""I"".': ['premise', 106]}"
"As we now know, that letter stands for ""infant"".",premise,"{'As we now know, that letter stands for ""infant"".': ['premise', 48]}"
"To the families and friends of the victims, it is impossible to find words to express our condolences.",none,{}
We can only commit to them that we will not rest until we find out what happened.,claim,"{'We can only commit to them that we will not rest until we find out what happened.': ['claim', 81]}"
"A full, credible and unimpeded international investigation must begin immediately.",claim,"{'A full, credible and unimpeded international investigation must begin immediately.': ['claim', 82]}"
The perpetrators must be brought to justice; they must not be sheltered by any State Member of the United Nations.,claim,"{'The perpetrators must be brought to justice': ['claim', 43], 'they must not be sheltered by any State Member of the United Nations.': ['claim', 69]}"
Let me share with the Council our assesment of the evidence so far.,none,{}
"We assess that Malaysia Airlines Flight 17, carrying 298 people from Amsterdan to Kuala Lumpur, was likely downed by a surface-to-air missile (SAM) - an SA-11 - operated from a separatist-held location in eastern Ukraine.",none,{}
"The airliner was travelling at a cruise altitude of 33,000 feet, and its speed was typical for an airliner along an established flight corridor frequented by commercial traffic.",premise,"{'The airliner was travelling at a cruise altitude of 33,000 feet, and its speed was typical for an airliner along an established flight corridor frequented by commercial traffic.': ['premise', 177]}"
"The flight was transmiting its assigned transponder code, corresponding with its flight plan, and flight tracking data was publicly available on the Internet.",premise,"{'The flight was transmiting its assigned transponder code, corresponding with its flight plan, and flight tracking data was publicly available on the Internet.': ['premise', 158]}"
There was nothing threatening or provocative about MH-17.,claim,"{'There was nothing threatening or provocative about MH-17.': ['claim', 57]}"
Of the operational SAM.,none,{}
"systems located near the border, only the SA-Il, SA-20 and SA-22 systems are capable of hitting an aircraft at the flight's altitude of 33,000 feet.",none,{}
"We can rule out shorter-range SAMSs known to be in separatist hands, including man-portable air defence systems, and SA-8 and SA-13 systems, which are not capable of hitting an aircraft at that altitude.",claim,"{'We can rule out shorter-range SAMSs known to be in separatist hands, including man-portable air defence systems, and SA-8 and SA-13 systems, which are not capable of hitting an aircraft at that altitude.': ['claim', 203]}"
"Early Thursday, an SA-ll SAM.",none,{}
"system was reported near Zahnitkiv by a western reporter, and separatists were spotted hours before the incident with an SA-Il system at a location close to the site where the plane went down.",none,{}
"Separatists initially claimed responsibility for shooting down a military transport plane, and posted videos that are now being connected to the Malaysia Airlines crash.",premise,"{'Separatists initially claimed responsibility for shooting down a military transport plane, and posted videos that are now being connected to the Malaysia Airlines crash.': ['premise', 169]}"
"Separatist leaders also boasted on social media about shooting down a plane, but later deleted those messages.",premise,"{'Separatist leaders also boasted on social media about shooting down a plane, but later deleted those messages.': ['premise', 110]}"
"Because of the technical complexity of the SA-11, it is unlikely that the separatists could effectively operate the system without assistance from knowledgeable personnel.",premise,"{'Because of the technical complexity of the SA-11, it is unlikely that the separatists could effectively operate the system without assistance from knowledgeable personnel.': ['premise', 171]}"
"Therefore, we cannot rule out technical assistance from Russian personnel in operating the systems.",claim,"{'Therefore, we cannot rule out technical assistance from Russian personnel in operating the systems.': ['claim', 99]}"
"The Ukrainians do have SA-ll systems in their inventory; however, we are not aware of any Ukrainian SAM.",none,{}
systems in the area of the shoot-down.,none,{}
"More important, since the beginning of the crisis Ukrainian air defences have not fired a single missile, despite several alleged violations of their airspace by Russian aircraft.",premise,"{'More important, since the beginning of the crisis Ukrainian air defences have not fired a single missile, despite several alleged violations of their airspace by Russian aircraft.': ['premise', 179]}"
This also follows a pattern of actions by Russian-backed separatists.,claim,"{'This also follows a pattern of actions by Russian-backed separatists.': ['claim', 69]}"
"On 13 June, separatists shot down a Ukrainian transport plane carrying 40 paratroopers and 9 crew members.",premise,"{'On 13 June, separatists shot down a Ukrainian transport plane carrying 40 paratroopers and 9 crew members.': ['premise', 106]}"
"On 24 June, as the Council was meeting to welcome Ukraine's unilateral ceasefire (see S/PV.7205), we received word that separatists had downed a Ukrainian helicopter, killing all nine aboard.",premise,"{""On 24 June, as the Council was meeting to welcome Ukraine's unilateral ceasefire (see S/PV.7205), we received word that separatists had downed a Ukrainian helicopter, killing all nine aboard."": ['premise', 191]}"
"On 14 July, separatists claimed credit for downing a Ukrainian military cargo plane flying at 6,000 metres.",premise,"{'On 14 July, separatists claimed credit for downing a Ukrainian military cargo plane flying at 6,000 metres.': ['premise', 107]}"
And on 16 July they claimed credit for the downing of a Ukrainian fighter jet.,premise,"{'And on 16 July they claimed credit for the downing of a Ukrainian fighter jet.': ['premise', 78]}"
"If indeed Russian-backed separatists were behind this attack on a civilian airliner, they and their backers would have good reason to cover up evidence of their crime.",premise,"{'If indeed Russian-backed separatists were behind this attack on a civilian airliner, they and their backers would have good reason to cover up evidence of their crime.': ['premise', 167]}"
It is therefore extremely important that an investigation be commenced immediately.,claim,"{'It is therefore extremely important that an investigation be commenced immediately.': ['claim', 83]}"
"In the first instance, the special monitoring mission the of the Organization for Security and Cooperation in Europe should act as a first responder, thereby laying the foundation for efforts by other international organizations and individual nations, including those whose citizens were victims of the tragedy.",claim,"{'In the first instance, the special monitoring mission the of the Organization for Security and Cooperation in Europe should act as a first responder, thereby laying the foundation for efforts by other international organizations and individual nations, including those whose citizens were victims of the tragedy.': ['claim', 312]}"
"Yesterday, President Obama assured Ukraine's President Poroshenko that United States experts would offer all possible assistance upon his request.",none,{}
President Poroshenko has invited the independent and credible International Civil Aviation Organization to join an investigation.,none,{}
"International investigators must be granted immediate, full and unfettered access to the crash site.",claim,"{'International investigators must be granted immediate, full and unfettered access to the crash site.': ['claim', 100]}"
"All those concerned - Russia, pro-Russian separatists and Ukraine - should agree to support an immediate ceasefire to facilitate access by international investigators.",claim,"{'All those concerned - Russia, pro-Russian separatists and Ukraine - should agree to support an immediate ceasefire to facilitate access by international investigators.': ['claim', 167]}"
"In that regard, we look to the monitoring misson also to reach agreement with separatists and others in the region to make that possible.",none,{}
All evidence must remain undisturbed and any evidence removed from the site by the Russian-backed separatists operating in the area should be promptly returned and handed over.,claim,"{'All evidence must remain undisturbed and any evidence removed from the site by the Russian-backed separatists operating in the area should be promptly returned and handed over': ['claim', 175]}"
Russia needs to help make that happen.,claim,"{'Russia needs to help make that happen': ['claim', 37]}"
"While it make take us some time to firmly establish who shot down a plane filled with innocents, most Council members and most members of the international community have been warning for months about the devastation that would come if Russia did not stop what it started - if it did not reign in what it unleashed.",none,{}
"The context for yesterday's horror is clear: separatist forces backed by the Russian Government continue to destabilize Ukraine and undermine the efforts of Ukraine's elected leaders to build a democratic Ukraine that is stable, unified, secure and able to determine its own future.",claim,"{""separatist forces backed by the Russian Government continue to destabilize Ukraine and undermine the efforts of Ukraine's elected leaders to build a democratic Ukraine that is stable, unified, secure and able to determine its own future."": ['claim', 237]}"
"Russia says that it seeks peace in Ukraine, but we have repeatedly provided the Council with evidence of Russia's continued support to the separatists.",premise,"{""Russia says that it seeks peace in Ukraine, but we have repeatedly provided the Council with evidence of Russia's continued support to the separatists."": ['premise', 151]}"
"Time after time, we have called on the Russian Government to de-escalate the situation by stopping the flow of fighters and weapons into Ukraine, pressing separatists to agree to a ceasefire and release all hostages, and support a road map for negotiations.",none,{}
"Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.",claim,"{'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.': ['claim', 214]}"
Here is what we know.,none,{}
"In the past few weeks, Russia has increased the number of tanks, armoured vehicles and rocket launchers in south-west Russia.",premise,"{'In the past few weeks, Russia has increased the number of tanks, armoured vehicles and rocket launchers in south-west Russia.': ['premise', 125]}"
More advanced air defence systems have also arrived.,premise,"{'More advanced air defence systems have also arrived.': ['premise', 52]}"
"Moscow recently transferred Soviet- era tanks and artillery to the separatists, and several military vehicles crossed the border.",premise,"{'Moscow recently transferred Soviet- era tanks and artillery to the separatists, and several military vehicles crossed the border.': ['premise', 129]}"
"After recapturing several Ukrainian cities last weekend, Ukrainian officials discovered caches of weapons long associated with Russian stockpiles, including MANPADs, mines, grenades, meals ready to eat, vehicles and a pontoon bridge.",premise,"{'After recapturing several Ukrainian cities last weekend, Ukrainian officials discovered caches of weapons long associated with Russian stockpiles, including MANPADs, mines, grenades, meals ready to eat, vehicles and a pontoon bridge.': ['premise', 233]}"
"Ukrainian forces have discovered large amounts of other Russian-provided military equipment, including accompanying documentation verifying Russian origin, in the areas they have liberated from separatists in recent days.",premise,"{'Ukrainian forces have discovered large amounts of other Russian-provided military equipment, including accompanying documentation verifying Russian origin, in the areas they have liberated from separatists in recent days.': ['premise', 221]}"
"Recruiting efforts for separatist fighters are expanding inside Russia, and separatists have openly said that they were looking for volunteers with experience in operating heavy weapons such as tanks and air defences.",premise,"{'Recruiting efforts for separatist fighters are expanding inside Russia, and separatists have openly said that they were looking for volunteers with experience in operating heavy weapons such as tanks and air defences.': ['premise', 217]}"
